Complete Game Pass Master List by u/ABattleVet,512,,,,,,Playstation Plus,,,,See suggestions tab for color coding,,The community can add games to cross play/play anywhere,,Public Notes,
Game,System,xCloud,Status,Added,Removed,Months,Release,Age,Metacritic,Completion,Genre (Giantbomb),Xbox Series X|S,Owner Notes,ESRB,ESRB Content Descriptors,Community Notes
F.I.S.T.: Forged In Shadow Torch,Xbox / PC,Yes,Active,Jun 2023,,4.34,Sep 2021,1.80,81,12,Brawler / Platformer / Action-Adventure,Exclusive,,E10+,"Fantasy Violence, Language, Mild Suggestive Themes, Use of Alcohol",
Need for Speed: Unbound,Xbox / PC,Yes,Active,Jun 2023,,4.50,Nov 2022,0.56,77,23,Driving/Racing,Exclusive,,T,"Language, Mild Suggestive Themes, Mild Violence",
The Bookwalker: Thief of Tales,Xbox / PC,,Active,Jun 2023,,4.50,Jun 2023,0.00,75,6,Adventure,,,RP,,
Dordogne,Xbox / PC,Yes,Active,Jun 2023,,4.80,Jun 2023,0.00,74,4,Adventure / Puzzle,,,E,Mild Language,
Rune Factory 4: Special,Xbox / PC,Yes,Active,Jun 2023,,4.96,Jul 2012,10.89,82,39,Action / Role-Playing,,,T,"Fantasy Violence, Mild Language, Mild Suggestive Themes, Use of Alcohol",
Stacking,Xbox,Yes,Active,Jun 2023,,4.96,Feb 2011,12.34,82,4,Adventure / Puzzle,,,E10+,"Crude Humor, Use of Tobacco, Mild Fantasy Violence, Mild Suggestive Themes",
Amnesia: The Bunker,Xbox / PC,Yes,Active,Jun 2023,,5.03,Jun 2023,0.00,77,5,Adventure,,,RP,,
Car Mechanic Simulator 2021,Xbox / PC,Yes,Active,Jun 2023,,5.19,Aug 2021,1.81,70,23,Simulation,,,E,,
Slayers X: Terminal Aftermath - Vengance of the Slayer,Xbox / PC,Yes,Active,Jun 2023,,5.19,Jun 2023,0.00,80,4,First-Person Shooter,,,RP,,
The Big Con,Xbox / PC,Yes,Active,Jun 2023,,5.19,Aug 2021,1.75,77,4,Adventure,,,T,"Language, Drug Reference, Use of Tobacco",
Chicory: A Colorful Tale,Xbox / PC,,Active,May 2023,,5.26,Jun 2021,1.97,90,10,Action-Adventure,,,E,"Mild Fantasy Violence, Comic Mischief",
Farworld Pioneers,Xbox / PC,,Active,May 2023,,5.26,May 2023,0.00,58,,,,,RP,,
Massive Chalice,Xbox,Yes,Active,May 2023,,5.42,Jun 2015,7.99,72,16,Strategy / Role-Playing,,"Joined 6/1/17, left 2/1/19",T,"Fantasy Violence, Alcohol Reference, Language",
Railway Empire 2,Xbox / PC,Yes,Active,May 2023,,5.46,May 2023,0.00,79,28,Strategy / Simulation,,,RP,,
PLANET OF LANA,Xbox / PC,Yes,Active,May 2023,,5.49,May 2023,0.00,80,5,Adventure / Puzzle,,,RP,,
Eastern Exorcist,Xbox / PC,,Active,May 2023,,5.65,Jul 2021,1.86,73,7,Action / Role-Playing,,,M,"Blood, Violence",
Supraland: Six Inches Under,Xbox / PC,Yes,Active,May 2023,,5.65,Jan 2022,1.34,86,8,Action-Adventure,,,RP,,
FIFA 23,Xbox / PC,Yes,Active,May 2023,,5.72,Oct 2021,1.62,78,94,Sports / Soccer,,,E,,
Fuga: Melodies of Steel 2,Xbox / PC,Yes,Active,May 2023,,5.88,May 2023,0.00,85,22,Strategy / Role-Playing,,,RP,,
Ravenlok,Xbox / PC,Yes,Active,May 2023,,6.12,May 2023,0.00,66,4,Action / Role-Playing,,,E10+,"Fantasy Violence, Mild Blood",
Redfall,Xbox / PC,Yes,Active,May 2023,,6.18,May 2023,0.00,55,11,First-Person Shooter,Exclusive,"Persistent online requirement, may be removed",M,"Blood, Drug Reference, Strong Language, Violence",
Besiege,Xbox / PC,Touch Controls,Active,May 2023,,6.21,Feb 2022,1.22,88,5,Strategy / Simulation,,"Joined 2/10/22, left 2/15/23 while in game preview, rejoins post full release",T,"Violence, Blood and Gore",
BlazBlue: Cross Tag Battle - Special Edition,Xbox / PC,Yes,Active,Apr 2023,,6.35,May 2018,4.91,72,4,Fighting,,,T,"Language, Suggestive Themes, Violence",
The Last Case of Benedict Fox,Xbox / PC,,Active,Apr 2023,,6.35,Apr 2023,0.00,66,11,Horror,,,RP,,
Cassette Beasts,Xbox / PC,,Active,Apr 2023,,6.38,Apr 2023,0.00,83,17,Role-Playing,,Joined console 5/25/23,RP,,
Homestead Arcana,Xbox / PC,Yes,Active,Apr 2023,,6.54,Apr 2023,0.00,59,13,,Exclusive,,E10+,Fantasy Violence,
Coffee Talk Episode 2: Hibiscus & Butterfly,Xbox / PC,Yes,Active,Apr 2023,,6.58,Apr 2023,0.00,78,7,Adventure,,,T,"Alcohol Reference, Language, Mild Suggestive Themes, Use of Tobacco",
Minecraft: Legends,Xbox / PC,Yes,Active,Apr 2023,,6.64,Apr 2023,0.00,69,8,Action / Strategy,Exclusive,,E10+,"Mild Blood, Violence, Mild Suggestive Themes, Language",
Everspace 2,Xbox / PC,Yes,Active,Apr 2023,,6.71,Jan 2021,2.24,81,22,Action / Shooter,Exclusive,Joins Xbox Series and cloud 8/15/23. 1.0 release 4/16/23 out of early accesss,T,,
Ghostwire: Tokyo,Xbox / PC,Yes,Active,Apr 2023,,6.84,Mar 2022,1.05,76,11,Action-Adventure,Exclusive,,T,"Language, Violence",
NHL 23,Xbox,,Active,Apr 2023,,6.81,Oct 2022,0.50,71,12,Sports / Hockey,,,E10+,Mild Violence,
Goat Simulator,Xbox / PC,Yes,Active,Apr 2023,,7.10,Apr 2014,9.01,58,2,Simulation,,"Joined 6/27/19, left 3/215/23",T,"Blood, Violence",
Loop Hero,Xbox / PC,,Active,Apr 2023,,7.10,Mar 2021,2.08,82,29,Strategy / Card Game,,,T,"Fantasy Violence, Language, Mild Suggestive Themes",
INFINITE GUITARS,Xbox / PC,Yes,Active,Mar 2023,,7.27,Dec 2022,0.29,55,12,Role-Playing / Music/Rhythm,,,E10+,"Fantasy Violence, Mild Language",
MLB The Show 23,Xbox,Yes,Active,Mar 2023,,7.33,Mar 2023,0.00,80,57,Sports / Baseball,,,E,,
Ni no Kuni II: Revenant Kingdom - The Prince's Edition,Xbox / PC,,Active,Mar 2023,,7.56,Mar 2018,5.00,81,39,Action / Role-Playing,,,T,"Fantasy Violence, Mild Blood",
Guilty Gear -Strive-,Xbox / PC,Yes,Active,Mar 2023,,8.02,Jun 2021,1.74,85,5,Fighting,,,T,"Blood, Language, Mild Suggestive Themes, Violence",
Wo Long: Fallen Dynasty,Xbox / PC,Yes,Active,Mar 2023,,8.15,Mar 2023,0.00,80,29,Action,,,M,"Blood and Gore, Violence",
F1 22,Xbox / PC,,Active,Mar 2023,,8.19,Jun 2022,0.68,81,23,Driving/Racing / Simulation,,,E,,
Merge & Blade,Xbox / PC,Yes,Active,Feb 2023,,8.25,Feb 2023,0.00,70,8,,,,E10+,"Fantasy Violence, Mild Blood",
Soul Hackers 2,Xbox / PC,Yes,Active,Feb 2023,,8.25,Aug 2022,0.51,74,32,Role-Playing,,,M,"Blood and Gore, Partial Nudity, Strong Language, Violence",
Atomic Heart,Xbox / PC,Yes,Active,Feb 2023,,8.48,Feb 2023,0.00,72,16,Adventure / First-Person Shooter,,,M,"Intense Violence, Blood and Gore, Nudity, Language",
Shadow Warrior 3: Definitive Edition,Xbox / PC,Yes,Active,Feb 2023,,8.65,Mar 2022,0.96,71,6,First-Person Shooter / Action-Adventure,,,M,"Blood and Gore, Intense Violence, Mild Sexual Themes, Strong Language",
Mount & Blade II: Bannerlord,Xbox / PC,Yes,Active,Feb 2023,,8.71,Mar 2020,2.88,75,39,Action / Adventure / Role-Playing / Simulation,,,M,"Blood, Violence",
Madden NFL 23,Xbox / PC,,Active,Feb 2023,,8.88,Aug 2022,0.48,69,28,Sports / Football,,,E,Mild Lyrics,
SD Gundam Battle Alliance,Xbox / PC,Yes,Active,Feb 2023,,8.88,Aug 2022,0.46,71,11,Action / Strategy / Role-Playing,,,T,"Fantasy Violence, Mild Blood, Mild Language, Use of Alcohol",
Hot Wheels Unleashed: Game of the Year Edition,Xbox / PC,Yes,Active,Feb 2023,,8.94,Sep 2021,1.36,72,9,Driving/Racing,,,E,,
Darkest Dungeon,Xbox / PC,Yes,Active,Feb 2023,,9.11,Jan 2016,7.04,84,56,Role-Playing,,,T,"Fantasy Violence, Mild Blood, Sexual Themes, Partial Nudity",
Inkulinati (Game Preview),Xbox / PC,Yes,Active,Jan 2023,,9.17,Jan 2023,0.00,,,Strategy,,,E,"Mild Fantasy Violence, Mild Language, Comic Mischief",
JoJo's Bizarre Adventure: All-Star Battle R,Xbox / PC,Yes,Active,Jan 2023,,9.17,Sep 2022,0.42,73,10,Fighting,,,T,"Language, Mild Blood, Suggestive Themes, Use of Tobacco, Violence",
GoldenEye 007 (2023),Xbox,Yes,Active,Jan 2023,,9.30,Jan 2023,0.00,96,10,First-Person Shooter,,,T,,
Hi-Fi RUSH,Xbox / PC,Yes,Active,Jan 2023,,9.37,Jan 2023,0.00,89,10,Action / Music/Rhythm,Exclusive,,T,"Fantasy Violence, Language",
Monster Hunter: Rise,Xbox / PC,Yes,Active,Jan 2023,,9.53,Mar 2021,1.82,86,21,Action / Role-Playing,,,T,"Alcohol Reference, Blood, Violence",
Persona 3: Portable,Xbox / PC,Yes,Active,Jan 2023,,9.57,Nov 2009,13.22,89,66,Role-Playing,,,M,"Blood, Language, Partial Nudity, Sexual Themes, Violence",Playstation Metacritic score
Persona 4: Golden,Xbox / PC,Yes,Active,Jan 2023,,9.57,Jun 2012,10.61,90,69,Role-Playing,,,M,"Alcohol Reference, Animated Blood, Language, Partial Nudity, Sexual Themes, Violence",Playstation Metacritic score
Stranded Deep,Xbox / PC,Yes,Active,Jan 2023,,10.09,Jan 2015,7.95,75,18,Adventure / Simulation,,,T,"Blood, Crude Humor, Mild Violence",
Crysis 2: Remastered,PC,,Active,Dec 2022,,11.01,Oct 2021,1.14,70,9,Action / First-Person Shooter,,,M,"Blood, Strong Language, Violence",Check the EA App for the remastered version
Crysis 3: Remastered,PC,,Active,Dec 2022,,11.01,Oct 2021,1.14,80,7,Action / First-Person Shooter,,,M,"Blood, Strong Language, Violence",Check the EA App for the remastered version
Crysis Trilogy: Remastered,PC,,Active,Dec 2022,,11.01,Oct 2021,1.14,80,26,Action / First-Person Shooter,,,M,"Blood, Strong Language, Violence",Check the EA App for the remastered version
Rainbow Billy: The Curse of the Leviathan,Xbox / PC,Yes,Active,Dec 2022,,10.72,Oct 2021,1.19,86,12,Role-Playing / Action-Adventure,,,E,,
High on Life,Xbox / PC,Yes,Active,Dec 2022,,10.78,Dec 2022,0.00,67,9,First-Person Shooter,,,M,"Violence, Blood, Sexual Themes, Use of Drugs, Strong Language, Crude Humor",
Potion Craft,Xbox / PC,,Active,Dec 2022,,10.78,Dec 2022,0.00,76,10,Simulation,,,E10+,"Violent References, Alcohol Reference",
League of Legends,PC,,Active,Dec 2022,,10.82,Oct 2009,13.13,78,1439,MOBA,,LoL: Wild Rift (mobile game) perks included,T,"Blood, Language, Violence",Riot Games and Xbox Game Pass Benefits | Riot Games | Riot Games
Legends of Runeterra,PC,,Active,Dec 2022,,10.82,Apr 2020,2.62,87,44,Card Game,,Mobile game perks included,T,"Alcohol Reference, Blood, Fantasy Violence, Mild Suggestive Themes",Riot Games and Xbox Game Pass Benefits | Riot Games | Riot Games
Teamfight Tactics,PC,,Active,Dec 2022,,10.82,Jun 2019,3.46,79,71,Strategy / Trivia/Board Game,,Mobile game perks included,T,"Violence, Blood, Suggestive Themes",Riot Games and Xbox Game Pass Benefits | Riot Games | Riot Games
Valorant,PC,,Active,Dec 2022,,10.82,Jun 2020,2.53,80,65,First-Person Shooter / MOBA,,,T,"Blood, Language, Violence",Riot Games and Xbox Game Pass Benefits | Riot Games | Riot Games
Chained Echoes,Xbox / PC,Yes,Active,Dec 2022,,10.95,Dec 2022,0.00,92,31,Role-Playing,,,M,,
Hello Neighbor 2,Xbox / PC,Yes,Active,Dec 2022,,11.01,Dec 2022,0.00,56,5,Strategy / Puzzle,,,E10+,Mild Violence,
LEGO Star Wars: The Skywalker Saga,Xbox / PC,Yes,Active,Dec 2022,,11.01,Apr 2022,0.67,80,19,Shooter / Brawler / Action-Adventure,,,E10+,"Cartoon Violence, Comic Mischief",
Eastward,Xbox / PC,Yes,Active,Dec 2022,,11.18,Dec 2021,0.96,82,20,Adventure / Role-Playing,,,T,"Blood, Fantasy Violence, Language, Suggestive Themes, Use of Alcohol",
The Walking Dead: The Final Season,Xbox / PC,Yes,Active,Dec 2022,,11.18,Aug 2018,4.30,78,10,Adventure,,,M,"Blood and Gore, Intense Violence, Strong Language",
"Warhammer 40,000: Darktide",Xbox / PC,Yes,Active,Nov 2022,,11.21,Nov 2022,0.00,78,41,Action,Exclusive,Joined cloud and console 10/4/23,M,"Intense Violence, Blood and Gore",
Insurgency: Sandstorm,Xbox / PC,Yes,Active,Nov 2022,,11.24,Sep 2018,4.20,80,33,Action / Shooter,,Joined PC 7/11/23,M,"Blood and Gore, Strong Language, Violence",
Soccer Story,Xbox / PC,Yes,Active,Nov 2022,,11.24,Nov 2022,0.00,71,10,Role-Playing / Soccer,,,E,,
Battlefield 2042,Xbox / PC,Yes,Active,Nov 2022,,11.47,Nov 2021,1.03,66,58,First-Person Shooter,,,M,"Blood, Strong Language, Violence",Seperate Xbox Gen8 (Xbox One) and Gen9 (Xbox Series X|S) versions (Not Smart Delivery enabled)
Dune: Spice Wars,PC,,Active,Nov 2022,,11.64,Apr 2022,0.56,72,7,Strategy,,Left Game Preview 9/14/23,T,"Fantasy Violence, Drug Reference",
Ghostlore,Xbox / PC,,Active,Nov 2022,,11.64,Apr 2022,0.59,6,6,,,Left game preview and joined console 5/17/23,E10+,"Fantasy Violence, Mild Blood",
Pentiment,Xbox / PC,Touch Controls,Active,Nov 2022,,11.70,Nov 2022,0.00,87,19,Adventure,,,M,"Blood and Gore, Sexual Themes, Strong Language, Violence",
Somerville,Xbox / PC,,Active,Nov 2022,,11.70,Nov 2022,0.00,82,3,Adventure,,,E10+,Mild Violence,
Return to Monkey Island,Xbox / PC,Yes,Active,Nov 2022,,11.93,Sep 2022,0.14,87,11,Adventure,Exclusive,,E10+,"Alcohol Reference, Fantasy Violence",
Frog Detective: The Entire Mystery,Xbox / PC,Yes,Active,Oct 2022,,12.33,Oct 2022,0.00,77,4,Adventure / Compilation,,Joined cloud and console 10/26/23,E,,
Amnesia: Collection,Xbox / PC,Touch Controls,Active,Oct 2022,,12.56,Nov 2016,5.91,79,16,Adventure / Compilation,,,M,"Violence, Blood and Gore, Nudity, Strong Language",
Amnesia: Rebirth,Xbox / PC,Touch Controls,Active,Oct 2022,,12.56,Oct 2020,2.00,80,9,Adventure,,,M,"Blood and Gore, Intense Violence, Nudity, Strong Language",
Phantom Abyss (Game Preview),Xbox / PC,Yes,Active,Oct 2022,,12.56,Jun 2021,1.33,,20,Puzzle / Platformer,Exclusive,,E10+,Fantasy Violence,
