Complete Game Pass Master List by u/ABattleVet,512,,,,,,Playstation Plus,,,,See suggestions tab for color coding,,The community can add games to cross play/play anywhere,,Public Notes,
Game,System,xCloud,Status,Added,Removed,Months,Release,Age,Metacritic,Completion,Genre (Giantbomb),Xbox Series X|S,Owner Notes,ESRB,ESRB Content Descriptors,Community Notes
Disney Dreamlight Valley: Founder's Edition,Xbox / PC,Touch Controls,Active,Sep 2022,,14.01,Sep 2022,0.00,75,16,Simulation,,,E,,
Opus Magnum,PC,,Active,Sep 2022,,14.01,Dec 2017,4.75,90,15,Puzzle,,,T,"Violent References, Suggestive Themes",
GRID: Legends,Xbox / PC,Yes,Active,Sep 2022,,14.17,Feb 2022,0.52,75,6,Driving/Racing,,Joined cloud 2/2/23,E10+,"Mild Language, Mild Suggestive Themes, Mild Violence",
Immortals Fenyx Rising,Xbox / PC,Touch Controls,Active,Aug 2022,,14.24,Dec 2020,1.74,81,26,Role-Playing / Action-Adventure,,Ubisoft Connect launcher,T,"Language, Suggestive Themes, Violence",
Opus: Echo of Starsong - Full Bloom Edition,Xbox / PC,Touch Controls,Active,Aug 2022,,14.40,Aug 2021,0.98,90,10,Adventure,,,E10+,"Mild Language, Mild Violence",
An Elder Scrolls Legend: Battlespire,PC,,Active,Aug 2022,,14.63,Nov 1997,24.73,56,16,Action / Role-Playing,,,M,"Animated Blood and Gore, Mature Sexual Themes",
The Elder Scrolls Adventures: Redguard,PC,,Active,Aug 2022,,14.63,Oct 1998,23.81,73,17,Action-Adventure,,,T,"Violence, Use of Alcohol And Tobacco",
Return to Castle Wolfenstein,PC,,Active,Aug 2022,,14.63,Nov 2001,20.76,88,8,First-Person Shooter,,,M,"Blood and Gore, Violence",
Quake 4,PC,,Active,Aug 2022,,14.63,Oct 2005,16.84,81,8,First-Person Shooter,,,M,"Blood and Gore, Intense Violence, Strong Language",
Wolfenstein 3D,PC,,Active,Aug 2022,,14.63,May 1992,30.31,85,7,Action / First-Person Shooter,,,M,"Blood and Gore, Violence",
Cooking Simulator,Xbox / PC,Yes,Active,Aug 2022,,14.86,Jun 2019,3.18,64,9,Simulation,,,E,Alcohol Reference,
Offworld Trading Company,PC,,Active,Aug 2022,,14.86,Apr 2016,6.29,78,8,Real-Time Strategy,,,E,Mild Fantasy Violence,
Turbo Golf Racing (Game Preview),Xbox / PC,Touch Controls,Active,Aug 2022,,15.09,Aug 2022,0.00,,,Driving/Racing,Exclusive,,E,,
Tom Clancy's Ghost Recon: Wildlands,Xbox / PC,Yes,Active,Aug 2022,,15.19,Mar 2017,5.41,76,27,Shooter,,Ubisoft Connect launcher,M,"Blood and Gore, Intense Violence, Partial Nudity, Sexual Themes, Strong Language, Use of Drugs",
MotoGP 22,Xbox / PC,Yes,Active,Jul 2022,,15.55,Apr 2022,0.25,81,11,Driving/Racing / Simulation,,,E,"Mild Violence, Use of Alcohol",
Inside,Xbox / PC,Yes,Active,Jul 2022,,15.55,Jun 2016,6.06,93,4,Puzzle / Platformer,,Game Pass Core launch title (9/14/23),M,"Blood and Gore, Violence",
Sins of a Solar Empire: Rebellion,PC,,Active,Jul 2022,,15.55,Jun 2013,9.13,82,10,Real-Time Strategy,,,E10+,Fantasy Violence,
As Dusk Falls,Xbox / PC,Touch Controls,Active,Jul 2022,,15.62,Jul 2022,0.00,78,6,Adventure,,,M,"Blood, Strong Language, Suggestive Themes, Use of Drugs and Alcohol, Violence",
Watch_Dogs 2,Xbox / PC,Yes,Active,Jul 2022,,15.62,Nov 2016,5.68,78,19,Driving/Racing / Shooter / Action-Adventure,,,M,"Blood, Intense Violence, Nudity, Sexual Themes, Strong Language, Use of Drugs",
Garden Story,Xbox / PC,Touch Controls,Active,Jul 2022,,15.65,Aug 2021,0.93,70,10,Role-Playing,,,E10+,Fantasy Violence,
Escape Academy,Xbox / PC,Touch Controls,Active,Jul 2022,,15.78,Jul 2022,0.00,81,5,Adventure / Puzzle,,,T,Violence,
My Friend Peppa Pig,Xbox / PC,Touch Controls,Active,Jul 2022,,15.78,Oct 2021,0.73,65,2,Educational,,,E,,
PowerWash Simulator,Xbox / PC,Yes,Active,Jul 2022,,15.78,May 2021,1.15,76,22,Simulation,,Game Pass Core launch title (9/14/23),E,,
Yakuza 0,Xbox / PC,Touch Controls,Active,Jul 2022,,16.08,Mar 2015,7.32,85,31,Role-Playing / Simulation / Brawler,,"Originally joined 2/26/20, left 12/31/21",M,"Blood, Intense Violence, Sexual Content, Strong Language, Use of Alcohol",
Yakuza Kiwami,Xbox / PC,Touch Controls,Active,Jul 2022,,16.08,Jan 2016,6.46,80,18,Brawler / Action-Adventure,,"Originally joined 4/22/20, left 12/31/21",M,"Blood, Intense Violence, Partial Nudity, Sexual Themes, Strong Language, Use of Alcohol",
Yakuza Kiwami 2,Xbox / PC,Touch Controls,Active,Jul 2022,,16.08,Dec 2017,4.58,82,19,Brawler / Action-Adventure,,"Originally joined 7/30/20, left 12/31/21",M,"Blood, Intense Violence, Sexual Themes, Strong Language, Use of Alcohol",
Far Cry 5,Xbox / PC,Yes,Active,Jul 2022,,16.21,Mar 2018,4.27,80,18,First-Person Shooter,,,M,"Blood and Gore, Intense Violence, Sexual Themes, Strong Language, Use of Drugs and Alcohol",
House Flipper,Xbox / PC,Yes,Active,Jun 2022,,16.24,May 2018,4.12,68,12,Simulation,,,E,,
FIFA 22,Xbox / PC,,Active,Jun 2022,,16.47,Oct 2021,0.73,76,95,Sports / Soccer,,,E,,Seperate Xbox Gen8 (Xbox One) and Gen9 (Xbox Series X|S) versions (Not Smart Delivery enabled)
Shadowrun Trilogy,Xbox / PC,Touch Controls,Active,Jun 2022,,16.54,Aug 2015,6.84,79,54,Strategy / Role-Playing,,Joins PC 5/9/23,M,"Blood and Gore, Drug Reference, Sexual Themes, Strong Language, Violence","Consists of three games (seperate listings, must be installed seperately); Shadowrun Returns, Shadowrun Dragonfall, Shadowrun Hong Kong"
Assassin's Creed: Origins,Xbox / PC,Touch Controls,Active,Jun 2022,,17.00,Oct 2017,4.61,85,30,Role-Playing / Action-Adventure,,Ubisoft Connect launcher,M,"Blood and Gore, Drug Reference, Intense Violence, Nudity, Sexual Content, Strong Language, Use of Alcohol",
Disc Room (2020),Xbox / PC,Touch Controls,Active,Jun 2022,,17.00,Oct 2020,1.62,83,3,Action-Adventure,,,T,"Blood and Gore, Violence",
Spacelines from the Far Out,Xbox / PC,Touch Controls,Active,Jun 2022,,17.00,Jun 2022,0.00,83,2,Action / Simulation,,,E10+,Crude Humor,
NINJA GAIDEN: Master Collection,Xbox / PC,Touch Controls,Active,Jun 2022,,17.16,Jun 2021,0.98,72,30,Action / Compilation,,,M,"Blood and Gore, Intense Violence, Partial Nudity, Strong Language, Suggestive Themes",
Cricket 22,PC,,Active,May 2022,,17.36,Dec 2021,0.48,63,21,Sports / Cricket,,,E,,
Pac-Man Museum+,Xbox / PC,Yes,Active,May 2022,,17.36,May 2022,0.00,64,3,Compilation / Platformer,,,E,"Mild Cartoon Violence, Comic Mischief",
Sniper Elite 5,Xbox / PC,Yes,Active,May 2022,,17.39,May 2022,0.00,77,9,Action / Shooter,,,M,"Blood and Gore, Language, Intense Violence",
Hardspace: Shipbreaker,Xbox / PC,Yes,Active,May 2022,,17.46,Jun 2020,1.94,82,27,Simulation,Exclusive,Joined Xbox Series and clod 9/20/22,T,Violence,
Farming Simulator 22,Xbox / PC,Yes,Active,May 2022,,17.62,Nov 2021,0.49,76,466,Simulation,,,E,,
Vampire Survivors,Xbox / PC,Yes,Active,May 2022,,17.62,Dec 2021,0.42,87,5,Action,,"Game Pass Core launch title (9/14/23), Joins console 11/10/22",E10+,Fantasy Violence,
Jurassic World Evolution 2,Xbox / PC,Yes,Active,May 2022,,17.69,Nov 2021,0.52,79,6,Simulation,,,T,"Mild Blood, Violence",
Little Witch in the Woods (Game Preview),Xbox / PC,Touch Controls,Active,May 2022,,17.69,May 2022,0.00,,8,Role-Playing,,,T,Alcohol Reference,
NHL 22,Xbox,,Active,May 2022,,17.85,Oct 2021,0.57,74,85,Sports / Hockey,,,E10+,Mild Violence,
Eiyuden Chronicle: Rising,Xbox / PC,Touch Controls,Active,May 2022,,17.92,May 2022,0.00,71,11,Role-Playing / Action-Adventure,,,E10+,Fantasy Violence,
This War of Mine: Final Cut,Xbox / PC,Touch Controls,Active,May 2022,,17.92,Nov 2014,7.49,81,11,Strategy / Adventure,,,M,"Blood, Mild Sexual Themes, Strong Language, Use of Alcohol and Tobacco, Violence",
Citizen Sleeper,Xbox / PC,Touch Controls,Active,May 2022,,18.08,May 2022,0.00,82,6,Adventure / Role-Playing,,,T,"Fantasy Violence, Use of Alcohol, Language",
Fortnite,,Touch Controls,Active,May 2022,,18.08,Jul 2017,4.78,83,66,Shooter,,First free to play game on xCloud,T,Violence,
NARAKA: BLADEPOINT,Xbox / PC,Yes,Active,Jun 2022,,16.47,Aug 2021,0.86,71,48,Action,,,T,Violence,
Teenage Mutant Ninja Turtles: Shredder's Revenge,Xbox / PC,Touch Controls,Active,Jun 2022,,16.70,Jun 2022,0.00,86,3,Brawler,,Game Pass Core launch title (9/14/23),E10+,Fantasy Violence,
Loot River,Xbox / PC,Touch Controls,Active,May 2022,,18.15,May 2022,0.00,66,4,Action,,,T,"Violence, Blood",
7 Days to Die (Game Preview),Xbox / PC,Yes,Active,Apr 2022,,18.38,Dec 2013,8.37,35,54,Simulation / First-Person Shooter / Action-Adventure / Block-Breaking,,,M,"Blood and Gore, Strong Language, Violence",
Research and Destroy,Xbox / PC,Touch Controls,Active,Apr 2022,,18.38,Apr 2022,0.00,73,7,Strategy / Shooter,,,T,"Violence, Blood",
Lost In Random,Xbox / PC,Touch Controls,Active,Apr 2022,,18.84,Sep 2021,0.59,76,12,Role-Playing / Card Game / Action-Adventure,,,E10+,"Fantasy Violence, Language, Use of Alcohol",
Cricket 22,Xbox / PC,Yes,Active,Apr 2022,,19.07,Dec 2021,0.34,61,22,Sports / Cricket,,,E,,
Norco,Xbox / PC,Yes,Active,Mar 2022,,19.46,Mar 2022,0.00,87,6,Adventure,,Joined cloud and console 11/17/22,M,"Violence, Blood, Drug Reference, Strong Language",
F1 2021,Xbox,Yes,Active,Mar 2022,,19.46,Jul 2021,0.69,84,8,Driving/Racing,,,E,Mild Language,
Shredders,Xbox / PC,Yes,Active,Mar 2022,,19.69,Mar 2022,0.00,69,4,Sports / Snowboarding/Skiing,Exclusive,,E,,
Tunic,Xbox / PC,Yes,Active,Mar 2022,,19.73,Mar 2022,0.00,84,12,Action-Adventure,,,E10+,Fantasy Violence,
Galactic Civilizations III,PC,,Active,Feb 2022,,20.38,Mar 2014,7.92,81,23,Strategy,,,E10+,"Alcohol Reference, Fantasy Violence, Mild Suggestive Themes",
Super Mega Baseball 3,Xbox / PC,Touch Controls,Active,Feb 2022,,20.38,May 2020,1.79,82,24,Sports / Baseball,,,E,,
Roboquest (2020) (Game Preview),Xbox / PC,,Active,Feb 2022,,20.45,Aug 2020,1.51,,6,Action / First-Person Shooter,,Joined console 1/30/23,E10+,Fantasy Violence,
Madden NFL 22,Xbox / PC,,Active,Feb 2022,,20.61,Aug 2021,0.50,70,19,Sports / Football,,,E,Mild Lyrics,
Contrast,Xbox,Touch Controls,Active,Feb 2022,,21.07,Nov 2013,8.22,64,4,Puzzle / Platformer / Action-Adventure,,,T,"Fantasy Violence, Suggestive Themes, Use of Tobacco",
Peggle Nights,PC,,Active,Feb 2022,,21.01,Sep 2008,13.39,76,4,Puzzle / Pinball / Block-Breaking,,,E,,"PC, Xbox 360, PlayStation 3"
Death’s Door,Xbox / PC,Touch Controls,Active,Jan 2022,,21.53,Jul 2021,0.50,86,9,Action-Adventure,,,T,"Blood, Fantasy Violence, Language, Use of Alcohol and Tobacco",
HITMAN Trilogy,Xbox / PC,Touch Controls,Active,Jan 2022,,21.53,Jan 2022,0.00,85,25,Compilation / Action-Adventure,,,M,"Blood, Drug Reference, Intense Violence, Strong Language","Installs Hitman 3 and includes DLC to allow access to Hitman 1, 2 & 3 (standard editions only) content"
Mass Effect: Legendary Edition,Xbox / PC,Yes,Active,Jan 2022,,21.99,May 2021,0.65,88,106,Role-Playing / Shooter / Compilation,,,M,"Use of Alcohol, Blood, Sexual Content, Partial Nudity, Drug Reference, Strong Language, Violence"," If you encounter problems with HDR on Series X|S, try disabling Auto HDR in the game's compatibility settings (Mass Effect LE has a native HDR implementation)"
Ben 10: Power Trip,Xbox / PC,Touch Controls,Active,Dec 2021,,22.68,Oct 2020,1.19,67,5,Brawler / Action-Adventure,,,E10+,Cartoon Violence,
Broken Age,Xbox / PC,Touch Controls,Active,Dec 2021,,22.68,Jan 2014,7.93,77,10,Adventure,,,E10+,"Fantasy Violence, Crude Humor, Mild Blood, Mild Language",
Mortal Kombat 11,Xbox / PC,Yes,Active,Dec 2021,,22.68,Apr 2019,2.65,84,6,Fighting,,,M,"Blood and Gore, Strong Language, Intense Violence",
PAW Patrol Mighty Pups: Save Adventure Bay,Xbox / PC,Touch Controls,Active,Dec 2021,,22.68,Nov 2020,1.11,65,5,Action,,,E,,
The Gunk,Xbox / PC,Touch Controls,Active,Dec 2021,,22.68,Dec 2021,0.00,68,5,Puzzle / Action-Adventure,,,T,"Violence, Blood, Language",
Halo: Infinite,Xbox / PC,Yes,Active,Dec 2021,,22.95,Dec 2021,0.00,84,10,First-Person Shooter,,"Multiplayer beta available 11/15/21, Halo's and Xbox's 20th anniversary",T,"Violence, Blood, Mild Language",
ANVIL: Vault Breaker (Game Preview),Xbox / PC,Touch Controls,Active,Dec 2021,,23.15,Sep 2021,0.25,,3,Action / Dual-Joystick Shooter,,,T,"Violence, Blood",
Rubber Bandits,Xbox / PC,Touch Controls,Active,Dec 2021,,23.15,Dec 2021,0.00,74,3,Brawler,,,E10+,Fantasy Violence,
Stardew Valley,Xbox / PC,Touch Controls,Active,Dec 2021,,23.15,Feb 2016,5.77,89,53,Role-Playing / Simulation / Fishing / Action-Adventure,,Game Pass Core launch title (9/14/23),E10+,"Fantasy Violence, Mild Blood, Mild Language, Simulated Gambling, Use of Alcohol And Tobacco",
Dicey Dungeons,Xbox / PC,Touch Controls,Active,Nov 2021,,23.84,Aug 2019,2.25,80,26,Role-Playing,,,E10+,"Fantasy Violence, Mild Blood",
Forza Horizon 5,Xbox / PC,Yes,Active,Nov 2021,,23.90,Nov 2021,0.00,92,17,Driving/Racing,,,E,,
It Takes Two,Xbox / PC,Yes,Active,Nov 2021,,24.07,Mar 2021,0.61,89,12,Platformer / Action-Adventure,Optimized,,T,"Fantasy Violence, Comic Mischief, Language, Animated Blood",
Unpacking,Xbox / PC,Touch Controls,Active,Nov 2021,,24.13,Nov 2021,0.00,82,4,Simulation / Puzzle,,Game Pass Core launch title (9/14/23),E,,
Age of Empires IV: Anniversary Edition,Xbox / PC,Yes,Active,Oct 2021,,24.30,Oct 2021,0.00,81,25,Real-Time Strategy,,Joined PC and cloud 8/22/23,T,"Mild Blood, Mild Violence",
Everspace 2 (Game Preview),PC,,Active,Oct 2021,,24.53,Jan 2021,0.76,76,8,Action / Shooter,,,T,"Violence, Blood, Language",Confirmed to be on gamepass for a while after it comes out of early access https://i.imgur.com/keWnggH.jpg
Back 4 Blood,Xbox / PC,Yes,Active,Oct 2021,,24.82,Oct 2021,0.00,77,9,First-Person Shooter,Optimized,,M,"Intense Violence, Blood and Gore, Strong Language, Drug Reference",Left 4 Dead successor
Crysis: Remastered,PC,,Active,Sep 2021,,25.22,Sep 2020,1.03,69,10,Action / First-Person Shooter,,,M,"Blood, Strong Language, Violence",Check the EA App for the remastered version
Tainted Grail: Conquest,PC,Touch Controls,Active,Sep 2021,,25.45,Jun 2020,1.27,82,82,Role-Playing / Card Game,,,M,"Violence, Blood",
Superliminal,Xbox / PC,Touch Controls,Active,Sep 2021,,25.68,Nov 2019,1.85,77,3,Puzzle,,Game Pass Core launch title (9/14/23),E,Mild Blood,
Psychonauts 2,Xbox / PC,Touch Controls,Active,Aug 2021,,26.40,Aug 2021,0.00,89,14,Platformer / Action-Adventure,,Game Pass Core launch title (9/14/23),T,"Fantasy Violence, Crude Humor, Use of Tobacco, Alcohol Reference, Mild Language, Mild Suggestive Themes",
Quake,Xbox / PC,Yes,Active,Aug 2021,,26.60,Jul 1996,25.09,94,6,First-Person Shooter,,,M,"Blood and Gore, Violence",PC
Quake II,Xbox / PC,Yes,Active,Aug 2021,,26.60,Dec 1997,23.71,89,8,Action / First-Person Shooter,,Joined console 8/10/23,M,"Violence, Blood and Gore, Language",PC
Quake III: Arena,PC,,Active,Aug 2021,,26.60,Dec 1999,21.73,90,6,First-Person Shooter,,,M,"Blood and Gore, Language, Violence",PC
Humankind,Xbox / PC,Yes,Active,Aug 2021,,26.66,Aug 2021,0.00,78,15,Strategy,,Joined cloud and console 8/22/23,E10+,"Mild Violence, Alcohol Reference, Mild Language",
Syndicate (1993),PC,,Active,Aug 2021,,26.66,Jun 1993,28.21,84,12,Action / Strategy / Role-Playing,,,T,,
Ultima Underworld 1,PC,,Active,Aug 2021,,26.66,Mar 1992,29.41,94,20,Action / Role-Playing,,,E,Animated Violence,
Ultima Underworld 2,PC,,Active,Aug 2021,,26.66,Jan 1993,28.64,90,17,Action / Role-Playing,,,E,Animated Violence,
Microsoft Solitaire Collection: Premium Edition,PC,,Active,Aug 2021,,26.66,Oct 2012,8.81,70,80,Card Game / Minigame Collection,,,E,,
DiRT Rally 2.0,Xbox,,Active,Aug 2021,,26.89,Feb 2019,2.45,82,10,Driving/Racing,,"GP: Added 9/26/19, left 9/30/20",E,,
GRID (2019),Xbox,,Active,Aug 2021,,26.89,Sep 2019,1.92,79,21,Driving/Racing,,,E,,
Skate,Xbox,Touch Controls,Active,Aug 2021,,27.06,Sep 2007,13.90,86,12,Sports / Simulation / Skateboarding,,,T,"Mild Violence, Crude Humor, Blood and Gore, Tobacco Reference, Language",
Crimson Skies: High Road to Revenge,Xbox,Touch Controls,Active,Jul 2021,,27.39,Oct 2003,17.78,88,8,Flight Simulator / Vehicular Combat,,,T,"Xbox 360, PlayStation 3",OG Xbox
Blinx: The Time Sweeper,Xbox,Touch Controls,Active,Jul 2021,,27.52,Oct 2002,18.80,71,10,Action,,,E,,OG Xbox
EA Sports UFC 4,Xbox,,Active,Jul 2021,,27.98,Aug 2020,0.90,82,12,Sports / Fighting,FPS Boost,,T,"Blood, Language, Mild Suggestive Themes, Violence",
Gang Beasts,Xbox / PC,Yes,Active,Jul 2021,,28.21,Aug 2014,6.84,67,4,Brawler,,Game Pass Core launch title (9/14/23),E10+,Cartoon Violence,
Need for Speed: Hot Pursuit - Remastered,Xbox / PC,Touch Controls,Active,Jun 2021,,28.44,Nov 2020,0.63,76,16,Driving/Racing,,,E10+,"Mild Violence, Mild Lyrics",
Medieval Dynasty,Xbox / PC,Yes,Active,Jun 2021,,28.67,Sep 2020,0.75,73,30,Role-Playing / Simulation / Action-Adventure,,"Joined console and cloud 10/6/22, left game preview 9/23/21, joined xbox one 4/20/23",T,"Use of Alcohol, Blood, Suggestive Themes, Mild Language, Violence",
Arx Fatalis,PC,,Active,Jun 2021,,28.80,Nov 2002,18.60,77,20,Action / Adventure / Role-Playing,,Official PC Mod Support,M,"Violence, Blood, Simulated Gambling","PC, OG Xbox"
Dishonored: Death of the Outsider,Xbox / PC,Yes,Active,Jun 2021,,28.80,Sep 2017,3.75,83,7,Action-Adventure,FPS Boost,,M,"Blood and Gore, Strong Language, Intense Violence",
Fallout,PC,,Active,Jun 2021,,28.80,Sep 1997,23.72,89,16,Role-Playing,,Official PC Mod Support,M,"Blood and Gore, Strong Language, Suggestive Themes, Violence",PC
Fallout 2,PC,,Active,Jun 2021,,28.80,Sep 1998,22.72,86,31,Role-Playing,,Official PC Mod Support,M,"Blood and Gore, Sexual Content, Strong Language, Violence",PC
Fallout Tactics: Brotherhood of Steel,PC,,Active,Jun 2021,,28.80,Mar 2001,20.26,82,31,Action / Strategy / Role-Playing,,Official PC Mod Support,M,"Violence, Blood, Strong Language",PC
The Evil Within 2,Xbox / PC,Yes,Active,Jun 2021,,28.80,Oct 2017,3.67,81,14,Shooter,FPS Boost,,M,"Blood and Gore, Partial Nudity, Strong Language, Intense Violence",
Yakuza: Like a Dragon,Xbox / PC,Touch Controls,Active,Jun 2021,,28.80,Jan 2020,1.41,86,46,Role-Playing,Optimized,,M,"Use of Alcohol, Blood, Sexual Themes, Strong Language, Intense Violence",
For Honor: Marching Fire Edition,Xbox / PC,Yes,Active,Jun 2021,,29.13,Dec 2017,3.47,78,7,Action / Strategy / Fighting / MOBA,Optimized,"Ubisoft Connect launcher, Matching Fire Edition replaced standard version 6/1/22",M,"Blood and Gore, Intense Violence",
Conan Exiles,Xbox / PC,Yes,Active,May 2021,,29.42,May 2018,3.02,64,33,Action / Role-Playing,Optimized,,M,"Nudity, Use of Alcohol, Blood and Gore, Language, Intense Violence",
SnowRunner,Xbox / PC,Yes,Active,May 2021,,29.65,Apr 2020,1.05,81,90,Driving/Racing / Simulation,,,E,,
Just Cause 4: Reloaded,Xbox / PC,Yes,Active,May 2021,,29.82,Dec 2018,2.44,69,16,Action-Adventure,,,M,"Blood, Strong Language, Intense Violence",
Psychonauts,Xbox / PC,Touch Controls,Active,May 2021,,29.82,Apr 2005,16.08,88,13,Platformer / Action-Adventure,,Official PC Mod Support,T,"Crude Humor, Language, Cartoon Violence",OG Xbox
Zombie Army 4: Dead War,Xbox / PC,Yes,Active,Apr 2021,,30.97,Feb 2020,1.18,76,12,First-Person Shooter / Action-Adventure,Optimized,,M,"Blood and Gore, Language, Intense Violence",
Genesis Noir,Xbox / PC,Touch Controls,Active,Mar 2021,,31.43,Mar 2021,0.00,79,5,Adventure,,,T,"Mild Blood, Mild Violence, Sexual Themes, Use of Alcohol And Tobacco",
Yakuza 6: The Song of Life,Xbox / PC,Touch Controls,Active,Mar 2021,,31.43,Dec 2016,4.30,83,19,Role-Playing / Brawler / Action-Adventure,FPS Boost,,M,"Use of Alcohol, Blood, Sexual Content, Partial Nudity, Strong Language, Intense Violence",
Command & Conquer: Remastered Collection,PC,,Active,Mar 2021,,31.66,Jun 2020,0.78,82,30,Action / Strategy / Shooter / Flight Simulator,,,T,"Blood, Mild Language, Use of Alcohol and Tobacco, Violence",
Dungeon Keeper,PC,,Active,Mar 2021,,31.66,Jun 1997,23.74,88,15,Strategy / Role-Playing,,,M,"Animated Violence, Animated Blood, Blood and Gore",PC
Dungeon Keeper 2,PC,,Active,Mar 2021,,31.66,Jun 1999,21.73,88,18,Action / Real-Time Strategy,,,M,"Animated Blood, Blood and Gore, Animated Violence",PC
Jade Empire: Special Edition,PC,,Active,Mar 2021,,31.66,Apr 2005,15.94,81,15,Role-Playing / Action-Adventure,,,M,"Blood and Gore, Intense Violence, Mild Language, Suggestive Themes",OG Xbox
Medal of Honor: Allied Assault - War Chest,PC,,Active,Mar 2021,,31.66,Jan 2002,19.17,91,27,First-Person Shooter,,,T,Violence,PC
Need for Speed: Most Wanted,PC,,Active,Mar 2021,,31.66,Oct 2012,8.39,78,10,Driving/Racing,,,E10+,"Alcohol Reference, Comic Mischief, Violence",
Populous,PC,,Active,Mar 2021,,31.66,Jan 1989,32.23,89,13,Strategy,,,T,Violence,PC
Populous II: Trials of the Olympian Gods,PC,,Active,Mar 2021,,31.66,Aug 1991,29.57,80,12,Simulation / Real-Time Strategy,,,T,"Fantasy Violence, Partial Nudity",PC
Rebel Galaxy,PC,,Active,Mar 2021,,31.66,Oct 2015,5.41,75,22,Action / Role-Playing,,Removed 3/28/22,T,"Violence, Drug Reference, Language",
SimCity 2000: Special Edition,PC,,Active,Mar 2021,,31.66,Feb 1995,26.13,77,30,Strategy / Simulation,,,E,,PC
SimCity 4: Deluxe Party Edition,PC,,Active,Mar 2021,,31.66,Jan 2003,18.19,84,12,Simulation,,,E,Violence,PC
SimCity: Complete Edition,PC,,Active,Mar 2021,,31.66,Mar 2013,8.04,64,26,Simulation,,,E10+,Mild Violence,
SPORE,PC,,Active,Mar 2021,,31.66,Sep 2008,12.53,84,13,Strategy / Adventure / Simulation,,,E10+,"Comic Mischief, Fantasy Violence, Animated Blood",PC
Star Wars Squadrons,Xbox / PC,Touch Controls,Active,Mar 2021,,31.66,Oct 2020,0.46,79,9,Action / Flight Simulator,Optimized,Added to cloud 4/7/22,T,"Fantasy Violence, Mild Language",
The Saboteur,PC,,Active,Mar 2021,,31.66,Dec 2009,11.28,76,11,Shooter / Action-Adventure,,,M,"Blood, Intense Violence, Nudity, Sexual Themes, Strong Language","Xbox 360, PlayStation 3, PC"
The Sims 3,PC,,Active,Mar 2021,,31.66,Jun 2009,11.80,86,69,Simulation,,,T,"Crude Humor, Sexual Themes, Violence",PC
Dishonored: Definitive Edition,Xbox / PC,Yes,Active,Mar 2021,,31.86,Aug 2018,2.55,76,13,Role-Playing / First-Person Shooter / Action-Adventure,FPS Boost,,M,"Blood and Gore, Sexual Themes, Strong Language, Intense Violence",
DOOM,Xbox / PC,Yes,Active,Mar 2021,,31.86,Dec 1993,27.27,83,5,First-Person Shooter,,,M,"Intense Violence, Blood and Gore",PC
DOOM 3,Xbox / PC,Yes,Active,Mar 2021,,31.86,Aug 2004,16.62,88,11,First-Person Shooter,,,M,"Intense Violence, Blood and Gore","PC, OG Xbox"
DOOM 64,Xbox / PC,Yes,Active,Mar 2021,,31.86,Mar 1997,23.96,77,7,First-Person Shooter,,,M,"Violence, Blood and Gore",Nintendo 64
Generation Zero,Xbox / PC,Yes,Active,Dec 2021,,23.18,Mar 2019,2.69,51,22,First-Person Shooter,,,T,"Violence, Language",
DOOM II: Hell on Earth,Xbox / PC,Yes,Active,Mar 2021,,31.86,Sep 1994,26.47,80,7,First-Person Shooter,,,M,"Intense Violence, Blood and Gore",PC
The Elder Scrolls III: Morrowind,Xbox / PC,Yes,Active,Mar 2021,,31.86,May 2002,18.88,88,45,Role-Playing,,Official PC Mod Support,T,Violence,"OG Xbox, PC"
The Evil Within,Xbox / PC,Yes,Active,Mar 2021,,31.86,Oct 2014,6.41,74,16,Shooter,,,M,"Blood and Gore, Strong Language, Intense Violence",
Wolfenstein: The Old Blood,Xbox / PC,Yes,Active,Mar 2021,,31.86,May 2015,5.86,76,6,First-Person Shooter,,,M,"Blood and Gore, Intense Violence, Strong Language",
DiRT 5,Xbox / PC,Touch Controls,Active,Feb 2021,,32.35,Oct 2020,0.36,79,8,Driving/Racing,Optimized,Joined EA Play 8/10/21,E,,
Pillars of Eternity II: Deadfire - Ultimate Edition,Xbox / PC,Touch Controls,Active,Feb 2021,,32.58,May 2018,2.79,88,42,Role-Playing,,Official PC Mod Support,M,"Nudity, Blood and Gore, Sexual Themes, Strong Language, Violence",
