name,developer,publisher
0 Day Attack on Earth,Gulti,Square Enix
007 Legends,Eurocom,Activision
007: Quantum of Solace,Treyarch,Activision
0-D Beat Drop,Cyclone Zero,Arc System Works
1 vs. 100,Microsoft Game Studios,Microsoft Game Studios
11eyes CrossOver,Lass,5pb.
1942: Joint Strike,Backbone Entertainment,Capcom
2006 FIFA World Cup,EA Canada,EA Sports
2010 FIFA World Cup South Africa,EA Canada,EA Sports
2014 FIFA World Cup Brazil,EA Canada,EA Sports
3 on 3 NHL Arcade,EA Canada,Electronic Arts
3D Ultra Minigolf Adventures,Wanako Games,Vivendi Games
3D Ultra Minigolf Adventures 2,Wanako Games,Konami
50 Cent: Blood on the Sand,Swordfish Studios,THQ
A.R.E.S.: Extinction Agenda EX,Extend Studio,Aksys Games
Absolute: Blazing Infinity,Idea Factory,Idea Factory
Abyss Odyssey,Ace Team,Atlus
AC/DC Live: Rock Band Track Pack,Harmonix,MTV Games
Ace Combat 6: Fires of Liberation,Namco Bandai Games,"Namco Bandai Games, AtariEU"
Ace Combat: Assault Horizon,Namco Bandai Games,Namco Bandai Games
Aces of the Galaxy,Artech Digital Entertainment,Vivendi Games
Adidas miCoach,Lightning Fish,505 Games
Adrenalin Misfits,Konami,Konami
Adventure Time: Explore the Dungeon Because I Don't Know!,WayForward Technologies,D3 Publisher
Adventure Time: Finn & Jake Investigations,Vicious Cycle Software,Little Orbit
Adventure Time: The Secret of the Nameless Kingdom,WayForward Technologies,Little Orbit
Adventures of ShuggyThe Adventures of Shuggy,Smudged Cat Games,Valcon Games
The Adventures of Tintin: The Secret of the Unicorn,Ubisoft Montpellier,Ubisoft
Aegis Wing,Carbonated Games,Microsoft Game Studios
AFL Live,Big Ant Studios,Tru Blu Entertainment
AFL Live 2,Wicked Witch Software,Tru Blu Entertainment
Afro Samurai,Namco Bandai Games,Namco Bandai Games
After Burner Climax,Sega,Sega
Age of Booty,Certain Affinity,Capcom
Air Conflicts: Pacific Carriers,Games Farm,bitComposer
Air Conflicts: Secret Wars,Games Farm,bitComposer
Air Conflicts: Vietnam,Kalypso Media,Kalypso Media
AirMech Arena,Carbon Games,Ubisoft
Akai Katana Shin,Cave,Cave
Akatsuki no Amaneka to Aoi Kyojin,CyberFront,CyberFront
Alan Wake,Remedy Entertainment,Microsoft Game Studios
Alan Wake's American Nightmare,Remedy Entertainment,Microsoft Studios
Alarm for Cobra 11: Crash Time,Synetic,RTL
Alice: Madness Returns,Spicy Horse,Electronic Arts
Alien Breed 2: Assault,Team17,Microsoft Game Studios
Alien Breed 3: Descent,Team17,Microsoft Game Studios
Alien Breed: Evolution,Team17,Microsoft Game Studios
Alien Hominid HD,The Behemoth,Microsoft Game Studios
Alien Rage,CI Games,CI Games
Alien Spidy,Enigma Software Productions,Kalypso Media
Alien: Isolation,The Creative Assembly,Sega
Aliens vs. Predator,Rebellion Developments,Sega
Aliens: Colonial Marines,Gearbox Software,Sega
All Round Hunter[note 3],Beast Studios,505 Games
All Zombies Must Die!,Doublesix,Square Enix
All-Pro Football 2K8,Visual Concepts,2K Sports
Alone in the Dark,Eden Games,Atari
Alpha Protocol,Obsidian Entertainment,Sega
Altered Beast,Backbone Entertainment,Sega
Alvin and the Chipmunks: Chipwrecked,Behaviour Interactive,"Majesco Entertainment, 505 Games"
The Amazing Spider-Man,Beenox,Activision
The Amazing Spider-Man 2,Beenox,Activision
Amaneka of Dawn and the Deep-Blue Golem,Kogado Studio,Cyberfront
American McGee's Alice,Silverball Studios,Square Enix
American Mensa Academy,Rogue Entertainment,Electronic Arts
America's Army: True Soldiers,Red Storm Entertainment,Ubisoft
Amped 3,Indie Built,2K Sports
AMY,VectorCell,Lexis Numérique
Anarchy Reigns,PlatinumGames,Sega
Ancients of Ooga,NinjaBee,Microsoft Game Studios
Angry Birds Star Wars,"Rovio Entertainment, Exient Entertainment",Activision
Angry Birds Trilogy,Rovio Entertainment,Activision
Anna: Extended Edition,Dreampainters,Kasedo Games
Anomaly: Warzone Earth,11 Bit Studios,Microsoft Studios
Apache: Air Assault,Gaijin Entertainment,Activision
Apocalypse: Desire Next,Idea Factory,Idea Factory
Apples to Apples,ImaginEngine,THQ
Aqua,Games Distillery,Microsoft Game Studios
AquaZone: Life Simulator,Frontier Groove,Frontier Groove
Arcana Heart 3,Examu,Arc System Works
Arcania: Gothic 4,Spellbound Entertainment,JoWood
Arcania: The Complete Tale[note 4],Spellbound Entertainment,Nordic Games
Are You Smarter Than a 5th Grader?: Game Time,Blitz Games,THQ
Are You Smarter Than a 5th Grader?: Make The Grade,Blitz Games,THQ
Arkadian Warriors,Wanako Games,Activision
Arkanoid Live!,Taito,Taito
Armored Core 4,FromSoftware,"Sega, 505 GamesEU, From SoftwareJP"
Armored Core V,FromSoftware,Namco Bandai Games America
Armored Core: For Answer,FromSoftware,Sega
Armored Core: Verdict Day,FromSoftware,Namco Bandai
Army of Two,EA Montreal,Electronic Arts
Army of Two: The 40th Day,EA Montreal,Electronic Arts
Army of Two: The Devil's Cartel,Visceral Games,Electronic Arts
Ascend: Hand of Kul,Signal Studios,Microsoft Studios
Ashes Cricket 2009,Transmission Games,Codemasters
Assassin's Creed,Ubisoft Montreal,Ubisoft
Assassin's Creed II,Ubisoft Montreal,Ubisoft
Assassin's Creed III,Ubisoft Montreal,Ubisoft
Assassin's Creed IV: Black Flag,Ubisoft Montreal,Ubisoft
Assassin's Creed Rogue,Ubisoft Sofia,Ubisoft
Assassin's Creed: Brotherhood,Ubisoft Montreal,Ubisoft
Assassin's Creed: Liberation HD,Ubisoft Sofia,Ubisoft
Assassin's Creed: Revelations,Ubisoft Montreal,Ubisoft
Assault Heroes,Wanako Games,Microsoft Game Studios
Assault Heroes 2,Wanako Games,Vivendi Games
Asterix at the Olympic Games,Étranges Libellules,Atari
Asteroids/Asteroids Deluxe,Stainless Games,Atari
AstroPop,PopCap Games,Microsoft Game Studios
Asura's Wrath,CyberConnect2,Capcom
Attack of the Movies 3D,Panic Button,Majesco Entertainment
A-Train HX,Artdink,"505 GamesEU, ArtdinkJP"
Autobahn Polizei,Tommo,Conspiracy Entertainment
Avatar FameStar,Microsoft Studios,Microsoft Studios
Avatar: The Last Airbender – The Burning Earth,THQ,THQ
Awesomenauts,Ronimo Games,dtp entertainment
Axel & Pixel,Silver Wish Games,2K Games
Babel Rising,Mando Productions,Ubisoft
Back to the Future: The Game,Telltale Games,Telltale Games
Backbreaker,NaturalMotion,505 Games
Backbreaker: Vengeance,NaturalMotion,505 Games
Backyard Football 2010,FarSight Studios,Atari
Backyard Sports: Rookie Rush,HB Studios,Atari
Backyard Sports: Sandlot Sluggers,HB Studios,Atari
Baja: Edge of Control,2XL Games,THQ
Bakugan Battle Brawlers,Now Production,Activision
Bakugan: Defenders of the Core,Now Production,Activision
Band Hero,Neversoft,Activision
Band of Bugs,NinjaBee,Microsoft Game Studios
BandFuse: Rock Legends,Realta Entertainment Group,Mastiff
Bang Bang Racing,Digital Reality,Digital Reality
Bangai-O HD: Missile Fury,Treasure,D3 Publisher
Banjo-Kazooie,Rare/4J Studios,Microsoft Game Studios
Banjo-Kazooie: Nuts & Bolts,Rare,Microsoft Game Studios
Banjo-Tooie,Rare/4J Studios,Microsoft Game Studios
Bankshot Billiards 2,PixelStorm,Microsoft Game Studios
Barbie and her Sisters: Puppy Rescue,Little Orbit,Little Orbit
Bass Pro Shops: The Hunt,Piranha Games,XS Games
Bass Pro Shops: The Strike,Piranha Games,XS Games
Bastion,Supergiant Games,Warner Bros. Interactive Entertainment
Batman: Arkham Asylum,Rocksteady Studios,Warner Bros. Interactive Entertainment
Batman: Arkham City,Rocksteady Studios,Warner Bros. Interactive Entertainment
Batman: Arkham Origins,WB Games Montréal,Warner Bros. Interactive Entertainment
Batman: Arkham Origins Blackgate - Deluxe Edition,Armature Studio,Warner Bros. Interactive Entertainment
Batman: The Telltale Series,Telltale Games,Telltale Games
Battle Academy,Slitherine,Slitherine
Battle Fantasia,Arc System Works,Arc System Works
Battle vs. Chess,"TopWare Interactive, Gaijin Entertainment",SouthPeak Games
Battle: Los Angeles,Live Action Studios,Konami
BattleBlock Theater,The Behemoth,Microsoft Studios
Battlefield 1943,EA DICE,Electronic Arts
Battlefield 2: Modern Combat,EA Digital Illusions CE,Electronic Arts
Battlefield 3,EA Digital Illusions CE,Electronic Arts
Battlefield 4,EA Digital Illusions CE,Electronic Arts
Battlefield Hardline,Visceral Games,Electronic Arts
Battlefield: Bad Company,EA Digital Illusions CE,Electronic Arts
Battlefield: Bad Company 2,EA Digital Illusions CE,Electronic Arts
Battleship,Double Helix Games,Activision
Battlestar Galactica,N3V Games,Sierra Entertainment
Battlestations: Midway,Eidos Interactive,"Eidos Interactive, Spike JP"
Battlestations: Pacific,Eidos Interactive,Eidos Interactive
Battlezone,Stainless Games,Atari
Bayonetta,PlatinumGames,Sega
Beat'n Groovy,"Voltex, Inc.",Konami
The Beatles: Rock Band,Harmonix,MTV Games
Beautiful Katamari[note 5],Namco Bandai Games,Namco Bandai Games
Bee Movie Game,Beenox,Activision
Beijing 2008,Eurocom,Sega
Bejeweled 2,PopCap Games,PopCap Games
Bejeweled 3,PopCap Games,PopCap Games
Bejeweled Blitz Live,PopCap Games,PopCap Games
Bellator: MMA Onslaught,Kung Fu Factory,345 Games
Ben 10 Alien Force: The Rise of Hex,Black Lantern Studios,Konami
Ben 10 Alien Force: Vilgax Attacks,Papaya Studio,D3 Publisher
Ben 10: Galactic Racing,Monkey Bar Games,D3 Publisher
Ben 10: Omniverse,Vicious Cycle Software,D3 Publisher
Ben 10: Omniverse 2,High Voltage Software,D3 Publisher
Ben 10 Ultimate Alien: Cosmic Destruction,Papaya Studio,D3 Publisher
Beowulf: The Game,Ubisoft,Ubisoft
Beyond Good & Evil HD,Ubisoft Shanghai,Ubisoft
Big Bumpin',Blitz Games,King Games
Big League Sports,Koolhaus Games,Activision
The Biggest Loser: Ultimate Workout,Blitz Games Studios,THQ
The Bigs 2,Blue Castle Games,2K Sports
The Bigs,Blue Castle Games,2K Sports
Binary Domain,Ryū ga Gotoku Studios,Sega
Bionic Commando,GRIN,Capcom
Bionic Commando Rearmed,GRIN,Capcom
Bionic Commando Rearmed 2,Fatshark,Capcom
Bionicle Heroes,Traveller's Tales,Eidos Interactive
BioShock,2K Boston/2K Australia,"2K Games, SpikeJP"
BioShock 2,2K Marin,2K Games
BioShock Infinite,Irrational Games,2K Games
Birds of Steel,Gaijin Entertainment,Konami
Black College Football: The Xperience,Nerjyzed Entertainment,Aspyr
The Black Eyed Peas Experience,iNiS,Ubisoft
Black Knight Sword,Grasshopper Manufacture,D3 Publisher
Blacklight: Tango Down,Zombie Studios,Ignition Entertainment
BlackSite: Area 51,Midway Games,Midway Games
Blackwater,Zombie Studios,505 Games
Blade Kitten,Krome Studios,Atari
Blades of Time,Gaijin Entertainment,Konami
Bladestorm: The Hundred Years' War,Omega Force,Koei
BlazBlue: Calamity Trigger,Arc System Works,Arc System Works
BlazBlue: Continuum Shift,Arc System Works,Arc System Works
BlazBlue: Continuum Shift Extend,Arc System Works,Arc System Works
Blazing Angels 2: Secret Missions of WWII,Ubisoft Bucharest,Ubisoft
Blazing Angels: Squadrons of WWII,Ubisoft Bucharest,Ubisoft
Blazing Birds,Vector 2 Games,Microsoft Game Studios
Bliss Island,PomPom Games,Codemasters
Blitz: The League,Midway Games,Midway Games
Blitz: The League II,Midway Games,Midway Games
Blood Bowl,Cyanide,Focus Home Interactive
Blood Drive,Sidhe,Activision
Blood Knights,Deck13 Interactive,Kalypso Media
Blood of the Werewolf,Scientifically Proven,Midnight City
Bloodbath,Freedom Factory Studios,Freedom Factory Studios
Bloodforge,Climax Studios,Microsoft Studios
BloodRayne: Betrayal,WayForward Technologies,Majesco Entertainment
Bloody Good Time,Outerlight,Ubisoft
Blue Dragon,Mistwalker,Microsoft Game Studios
"Bluecoats: North vs South, TheThe Bluecoats: North vs South",Anuman,Bandai Namco Entertainment
Blur,Bizarre Creations,Activision
Body and Brain Connection,Namco Bandai Games,Namco Bandai Games
Bodycount,Guildford Studio,Codemasters
Bolt,Avalanche Software,Disney Interactive Studios
Bomberman Live,Backbone Entertainment,Hudson Soft
Bomberman Live: Battlefest,Pi Studios,Hudson Soft
Bomberman: Act Zero,Hudson Soft,"Konami, Hudson SoftJP"
Boogie Bunnies,Artech Digital Entertainment,Vivendi Games
Boom Boom Rocket,Bizarre Creations,Electronic Arts
Borderlands[note 6][note 7],Gearbox Software,2K Games
Borderlands 2,Gearbox Software,2K Games
Borderlands: The Pre-Sequel,2K Australia,2K Games
Boulder Dash-XL,Catnip Games,Kalypso Media
Bound by Flame,Spiders,Focus Home Interactive
Braid,"Number None, Inc.",Microsoft Game Studios
Brain Challenge,Gameloft,Microsoft Game Studios
Brave,Behaviour Interactive,Disney Interactive Studios
Brave: A Warrior's Tale,Collision Studios,SouthPeak Games
Breach,Atomic Games,Atomic Games
Brian Lara International Cricket 2007,Codemasters,Codemasters
"Bridge, TheThe Bridge",Ty Taylor and Mario Castañeda,Midnight City
Brink,Splash Damage,Bethesda Softworks
Brothers in Arms: Hell's Highway,Gearbox Software,Ubisoft
Brothers: A Tale of Two Sons,Starbreeze Studios,505 Games
Brunswick Pro Bowling,FarSight Studios,"Crave Entertainment, 505 Games"
Brütal Legend,Double Fine Productions,Electronic Arts
Bubble Bobble Neo!,Dreams,Square Enix
Buku Sudoku,Absolutist,Microsoft Game Studios
Bullet Soul,5pb.,5pb.
Bullet Soul: Infinite Burst,5pb.,5pb.
Bullet Witch,Cavia,"Atari, AQ InteractiveJP"
Bulletstorm,People Can Fly,Electronic Arts
Bully: Scholarship Edition,Rockstar New England,Rockstar Games
The Bureau: XCOM Declassified,"2K Marin, 2K Australia, 2K China",2K Games
BurgerTime World Tour,Frozen Codebase,Konami
Burnout Crash!,Criterion Games,Electronic Arts
Burnout Paradise,Criterion Games,Electronic Arts
Burnout Revenge,Criterion Games,Electronic Arts
Cabela's Adventure Camp,Cauldron,Activision
Cabela's African Adventures,Fun Labs,Activision
Cabela's African Safari,Fun Labs,Activision
Cabela's Alaskan Adventures,Fun Labs,Activision
Cabela's Big Game Hunter,Fun Labs,Activision
Cabela's Big Game Hunter 2010,Cauldron,Activision
Cabela's Big Game Hunter 2012,Cauldron,Activision
Cabela's Big Game Hunter: Hunting Party,Activision,Activision
Cabela's Big Game Hunter: Pro Hunts,Cauldron,Activision
Cabela's Dangerous Hunts 2009,Fun Labs,Activision
Cabela's Dangerous Hunts 2011,Cauldron,Activision
Cabela's Dangerous Hunts 2013,Cauldron,Activision
Cabela's Hunting Expeditions,Fun Labs,Activision
Cabela's North American Adventures,Fun Labs,Activision
Cabela's Outdoor Adventures,Activision,Activision
Cabela's Survival: Shadows of Katmai,Fun Labs,Activision
Cabela's Trophy Bucks,Fun Labs,Activision
Caladrius,MOSS,MOSS
Call of Duty 2[note 8],Infinity Ward,Activision
Call of Duty 3,Treyarch,Activision
Call of Duty 4: Modern Warfare,Infinity Ward,Activision
Call of Duty Classic,Aspyr,Activision
Call of Duty: Advanced Warfare,"Sledgehammer Games, High Moon Studios",Activision
Call of Duty: Black Ops,Treyarch,Activision
Call of Duty: Black Ops II,Treyarch,Activision
Call of Duty: Black Ops III,"Treyarch, Beenox",Activision
Call of Duty: Ghosts,Infinity Ward,"Activision, Square EnixJP"
Call of Duty: Modern Warfare 2,Infinity Ward,Activision
Call of Duty: Modern Warfare 3,"Infinity Ward, Sledgehammer Games",Activision
Call of Duty: World at War,Treyarch,Activision
Call of Juarez,Techland,Ubisoft
Call of Juarez: Bound in Blood,Techland,Ubisoft
Call of Juarez: The Cartel,Techland,Ubisoft
Call of Juarez: Gunslinger,Techland,Ubisoft
Capcom Arcade Cabinet,"Capcom, M2",Capcom
Capcom Digital Collection[note 9],Capcom,Capcom
Capsized,Alientrap,Namco Bandai Games
Captain America: Super Soldier,Next Level Games,Sega
Carcassonne,Sierra Entertainment,Microsoft Game Studios
"Carnival Games: Monkey See, Monkey Do",Cat Daddy Games,2K Play
Carrier Command: Gaea Mission,Bohemia Interactive,"Bohemia Interactive, Mastertronic, Rising Star Games"
Cars,Rainbow Studios,THQ
Cars 2,Avalanche Software,Disney Interactive Studios
Cars 3: Driven to Win,Avalanche Software,Warner Bros. Interactive Entertainment
Cars Mater-National Championship,Rainbow Studios,THQ
Cars Race-O-Rama,Rainbow Studios,THQ
Cartoon Network: Punch Time Explosion XL,Papaya Studio,"Crave Entertainment US, Deep Silver UK"
Castle Crashers,The Behemoth,Microsoft Game Studios
Castle of Illusion Starring Mickey Mouse,Sega Studios Australia,Sega
CastleStorm,Zen Studios,Microsoft Studios
Castlevania: Harmony of Despair,Konami,Konami
Castlevania: Lords of Shadow,"MercurySteam, Kojima Productions",Konami
Castlevania: Lords of Shadow 2,"MercurySteam, Kojima Productions",Konami
Castlevania: Lords of Shadow – Mirror of Fate HD,MercurySteam,Konami
Castlevania: Symphony of the Night,Konami/Digital Eclipse,Konami
Catan,Big Huge Games,Microsoft Game Studios
Catherine,Atlus Persona Team,Atlus
"Cave, TheThe Cave",Double Fine Productions,Sega
CellFactor: Psychokinetic Wars,Immersion GamesTimeline Interactive,Ubisoft
Centipede & Millipede,Stainless Games/Atari,Atari
Champion Jockey: G1 Jockey & Gallop Racer,Koei,Tecmo Koei
Championship Manager 2007,Beautiful Game,Eidos Interactive
Chaos;Head Love Chu Chu!,5pb.,5pb.
Chaos;Head Noah,5pb.,5pb.
Chaotic: Shadow Warriors,Activision,Activision
Charlie Murder,Ska Studios,Microsoft Studios
Chessmaster Live,Ubisoft,Ubisoft
Child of Eden,Q Entertainment,Ubisoft
Child of Light,Ubisoft Montreal,Ubisoft
Chime,Zoë Mode,Valcon Games
Chivalry: Medieval Warfare,Torn Banner Studios,Activision
Choplifter HD,InXile Entertainment,Konami
Chromehounds,From Software,Sega
The Chronicles of Narnia: Prince Caspian,Traveller's Tales,Disney Interactive Studios
The Chronicles of Riddick: Assault on Dark Athena,Starbreeze Studios,Atari
Civilization Revolution,Firaxis Games,2K Games
Clannad,Key,Prototype
Clash of the Titans,Namco Bandai Games,Namco Bandai Games
Clive Barker's Jericho,MercurySteamAlchemic Productions,Codemasters
Cloning Clyde,NinjaBee,Microsoft Game Studios
Cloudberry Kingdom,Pwnee Studios,Ubisoft
Cloudy with a Chance of Meatballs,Ubisoft Shanghai,Ubisoft
The Club,Bizarre Creations,Sega
Cobalt,Oxeye Game Studio,Microsoft Studios
Code 18,CyberFront,CyberFront
Coffeetime Crosswords,Voltex,Konami
College Hoops 2K6,Visual Concepts,2K Sports
College Hoops 2K7,Visual Concepts,2K Sports
College Hoops 2K8,Visual Concepts,2K Sports
Combat Wings: The Great Battles of WWII,CI Games,CI Games
Comic Jumper:The Adventures of Captain Smiley,Twisted Pixel Games,Microsoft Game Studios
Comix Zone,Backbone Entertainment,Sega
Command & Conquer 3: Kane's Wrath,EA Los Angeles,Electronic Arts
Command & Conquer 3: Tiberium Wars,EA Los Angeles,Electronic Arts
Command & Conquer: Red Alert 3,EA Los Angeles,Electronic Arts
Command & Conquer: Red Alert 3 – Commander's Challenge,EA Los Angeles,Electronic Arts
Commanders: Attack of the Genos,Southend Interactive,Activision
Conan,Nihilistic Software,THQ
Condemned 2: Bloodshot,Monolith Productions,Sega
Condemned: Criminal Origins[note 10],Monolith Productions,Sega
Conflict: Denied Ops,Pivotal Games,Eidos Interactive
Constant C,International Games System,Mages
Contra,Konami/Digital Eclipse,Konami
Contrast,Compulsion Games,Focus Home Interactive
Costume Quest,Double Fine Productions,THQ
Costume Quest 2,Double Fine Productions,Midnight City
Counter-Strike: Global Offensive,Valve,Valve
Country Dance All Stars,High Voltage Software,GameMill Entertainment
The Conveni 200X,Hamster Corporation,Masterpiece
Crackdown,Real Time Worlds,Microsoft Game Studios
Crackdown 2,Ruffian Games,Microsoft Game Studios
Crash of the Titans,Radical Entertainment,Vivendi Games
Crash Time II: Burning Wheels,Synetic,RTL Games
Crash Time III: Highway Nights,Synetic,RTL Games
Crash Time IV: The Syndicate,Synetic,dtp entertainment
Crash Time V: Undercover,Synetic,dtp entertainment
Crash Time: Autobahn Pursuit,Synetic,"Crave Entertainment, RTL GamesEU"
Crash: Mind over Mutant,Radical Entertainment,ActivisionVivendi Games
Crazy Machines Elements,FAKT Software,dtp entertainment
Crazy Taxi,Hitmaker,Sega
CrazyMouseCrazyMouse,Ultizen Games,Microsoft Game Studios
Create,EA Bright Light,Electronic Arts
The Crew,"Ivory Tower, Ubisoft Reflections, Asobo Studio",Ubisoft
Crimson Alliance,Certain Affinity,Microsoft Studios
Cross Channel: In Memory of All People,Flying Shine,Cyberfront
Cross Edge Dash,Compile Heart,Compile Heart
Crysis,Crytek,Electronic Arts
Crysis 2,Crytek,Electronic Arts
Crysis 3,Crytek,Electronic Arts
Crystal Defenders,Square Enix,Square Enix
Crystal Quest,Stainless Games,Microsoft Game Studios
CSI: Deadly Intent,Telltale Games,Ubisoft
CSI: Fatal Conspiracy,Telltale Games,Ubisoft
CSI: Hard Evidence,Telltale Games,Ubisoft
Culdcept Saga,"Omiya Soft, Jamsworks",Namco Bandai Games
The Cursed Crusade,Kylotonn Games,Atlus
Cyber Troopers Virtual-On,Hitmaker,Sega
Cyber Troopers Virtual-On Force,Hitmaker,Sega
Cyber Troopers Virtual-On Oratorio Tangram,Sega AM-2,Sega
Cyberball 2072,Midway Games/Digital Eclipse,Midway Games
Damage Inc. Pacific Squadron WW2,Trickstar Games,Mad Catz Interactive
Damnation,Blue Omega,Codemasters
Dance Central,Harmonix Music Systems,MTV Games
Dance Central 2,Harmonix Music Systems,MTV Games
Dance Central 3,Harmonix Music Systems,MTV Games and Microsoft Studios
Dance Dance Revolution,Konami,Konami
Dance Dance Revolution Universe[note 11],Konami,Konami
Dance Dance Revolution Universe 2[note 12],Konami,Konami
Dance Dance Revolution Universe 3,Konami,Konami
Dance Evolution (DanceMasters in NA),Konami,Konami
Dance Paradise,Mindscape,Universal Music
Dance! It's Your Stage,Sproing,dtp entertainment
Dante's Inferno,EA Redwood Shores,Electronic Arts
Dark,Realmforge Studios,Kalypso Media
Dark Messiah of Might and Magic: Elements,Ubisoft Annecy,Ubisoft
Dark Sector,Digital Extremes,D3 Publisher
Dark Souls,FromSoftware,"Namco Bandai Games, FromSoftwareJP"
Dark Souls II,FromSoftware,"Namco Bandai Games, From SoftwareJP"
Dark Void,Airtight Games,Capcom
Darkest of Days,8monkey Labs,Phantom EFX
The Darkness,Starbreeze Studios,2K Games
The Darkness II,"Digital Extremes, Top Cow Productions",2K Games
Darksiders,Vigil Games,THQ
Darksiders II,Vigil Games,THQ
Darkstalkers Resurrection (Night Warriors: Darkstalkers' Revenge and Darkstalkers 3),Iron Galaxy,Capcom
DarkStar One: Broken Alliance,Gaming Minds Studio,Kalypso Media
Darwinia+,Introversion Software,Microsoft Game Studios
Dash of Destruction,NinjaBee,NinjaBee
Days of Thunder: Arcade,Piranha Games,Paramount Digital Entertainment
Daytona USA,Sega,Sega
de Blob 2,Blue Tongue Entertainment,THQ
Dead Block,Candygun Games,Bandai Namco Entertainment
Dead Island,Techland,Deep Silver
Dead Island: Riptide,Techland,Deep Silver
Dead or Alive 4,Team Ninja,Tecmo
Dead or Alive 5,Team Ninja,Tecmo Koei
Dead or Alive 5 Last Round,Team Ninja,Tecmo Koei
Dead or Alive 5 Ultimate,Team Ninja,Tecmo Koei
Dead or Alive Xtreme 2,Team Ninja,Tecmo
Dead Rising,Capcom,Capcom
Dead Rising 2,Blue Castle GamesCapcom,Capcom
Dead Rising 2: Case West,Blue Castle Games,Capcom
Dead Rising 2: Case Zero,Blue Castle Games,Capcom
Dead Rising 2: Off the Record,Capcom Vancouver,Capcom
Dead Space,EA Redwood Shores,Electronic Arts
Dead Space 2,Visceral Games,Electronic Arts
Dead Space 3,Visceral Games,Electronic Arts
Dead Space Ignition,Sumo Digital,Electronic Arts
Dead to Rights: Retribution,Volatile Games,Namco Bandai Games
Deadfall Adventures,The Farm 51,Nordic Games
Deadliest Catch: Alaskan Storm,Liquid Dragon Studios,Greenwave Games
Deadliest Catch: Sea of Chaos,DoubleTap Games,Crave Entertainment
Deadliest Warrior: Ancient Combat,Pipeworks Software,345 Games
Deadliest Warrior: Battlegrounds,Hardsuit Labs,Spike Games
Deadliest Warrior: Legends,Pipeworks Software,345 Games/Spike Games
Deadliest Warrior: The Game,Pipeworks Software,Spike Games
Deadlight,Tequila Works,Microsoft Studios
Deadly Premonition[note 13],Access Games,UTV Ignition Entertainment
Deadpool,High Moon Studios,Activision
Death By Cube,Premium Agency,Square Enix
Death Tank,Snowblind Studios,Microsoft Game Studios
Deathsmiles,Cave,"Aksys GamesNA, CaveJP"
Deathsmiles II,Cave,Cave
DeathSpank,Hothead Games,Electronic Arts
Deathspank 2011Deathspank: The Baconing,Hothead Games,Valcon Games
DeathSpank: Thongs of Virtue,Hothead Games,Electronic Arts
Deca Sports Freedom,Hudson Soft,Konami
Deep Black: Episode 1,Biart,505 Games
Deepak Chopra's Leela,THQ,THQ
Def Jam: Icon,EA Chicago,Electronic Arts
Def Jam Rapstar,4mm Games,Konami
Defender,Midway Games/Digital Eclipse,Midway Games
Defenders of Ardania,Most Wanted Entertainment,Deep Silver/Paradox Interactive
Defense Grid: The Awakening,Hidden Path Entertainment,Microsoft Game Studios
Defense Technica,Kuno Interactive,Cyberfront Korea Corporation
Defiance,Trion Worlds,Trion Worlds
Destiny,Bungie,Activision
Destroy All Humans! Path of the Furon,Sandblast Games,THQ
Deus Ex: Human Revolution,Eidos Montréal,Square Enix
Deus Ex: Human Revolution Director's Cut,Eidos Montréal,Square Enix
Devil May Cry 4,Capcom,Capcom
Devil May Cry HD Collection[note 14],Capcom,Capcom
Diablo III,Blizzard Entertainment,Blizzard Entertainment
Diablo III: Reaper of Souls,Blizzard Entertainment,Blizzard Entertainment
Diabolical Pitch,Grasshopper Manufacture,Microsoft Studios
Diario: Rebirth Moon Legend,Idea Factory,Idea Factory
Dig Dug,Bandai Namco Entertainment,Bandai Namco Entertainment
Digimon All-Star Rumble,Bandai Namco Games,Bandai Namco Games
Diner Dash,GameLab,Hudson Soft
Dirt,Codemasters,Codemasters
Dirt 2,Codemasters,Codemasters
Dirt 3,Codemasters,Codemasters
Dirt: Showdown,Codemasters,Codemasters
Discs of Tron,Midway GamesDigital Eclipse,Disney Interactive Studios
Dishonored[note 15],Arkane Studios,Bethesda Softworks
"Dishwasher: Dead Samurai, TheThe Dishwasher: Dead Samurai",Ska Studios,Microsoft Game Studios
"Dishwasher: Vampire Smile, TheThe Dishwasher: Vampire Smile",Ska Studios,Microsoft Game Studios
Disney Infinity,Avalanche Software,Disney Interactive Studios
Disney Infinity 2.0,Avalanche Software,Disney Interactive Studios
Disney Infinity 3.0,Avalanche Software,Disney Interactive Studios
Disney Sing It,Zoë Mode,Disney Interactive Studios
Disney Sing It! – High School Musical 3: Senior Year,Zoë Mode,Disney Interactive Studios
Disney Universe,Eurocom,Disney Interactive Studios
Disorder 6,5pb. Games,5pb. Games
Divinity II: Ego Draconis,Larian Studios,CDV Software Entertainment
Divinity II: The Dragon Knight Saga,Larian Studios,Atlus
DJ Hero,FreeStyleGames,Activision
DJ Hero 2,FreeStyleGames,Activision
DmC: Devil May Cry,Ninja Theory,Capcom
DoDonPachi Dai Ou Jou Black Label Extra,Cave,5pb.
Do-Don-Pachi Dai-Fukkatsu[note 16],Cave,Cave
Do-Don-Pachi Dai-Fukkatsu Black Label,Cave,Cave
DoDonPachi SaiDaiOuJou,Cave,Cave
Dogfight 1942,CI Games,CI Games
Dollar Dash,Candygun Games,Kalypso Media
Domino Master,TikGames,Microsoft Game Studios
