Game,System,xCloud,Status,Added,Removed,Months,Release,Age,Metacritic,Genre (Giantbomb),ESRB
Homestead Arcana,Xbox / PC,Yes,Active,Apr 2023,,6.54,Apr 2023,0.00,59,,E10+
Coffee Talk Episode 2: Hibiscus & Butterfly,Xbox / PC,Yes,Active,Apr 2023,,6.58,Apr 2023,0.00,78,Adventure,T
Minecraft: Legends,Xbox / PC,Yes,Active,Apr 2023,,6.64,Apr 2023,0.00,69,Action / Strategy,E10+
Everspace 2,Xbox / PC,Yes,Active,Apr 2023,,6.71,Jan 2021,2.24,81,Action / Shooter,T
Ghostwire: Tokyo,Xbox / PC,Yes,Active,Apr 2023,,6.84,Mar 2022,1.05,76,Action-Adventure,T
NHL 23,Xbox,,Active,Apr 2023,,6.81,Oct 2022,0.50,71,Sports / Hockey,E10+
Goat Simulator,Xbox / PC,Yes,Active,Apr 2023,,7.10,Apr 2014,9.01,58,Simulation,T
Loop Hero,Xbox / PC,,Active,Apr 2023,,7.10,Mar 2021,2.08,82,Strategy / Card Game,T
INFINITE GUITARS,Xbox / PC,Yes,Active,Mar 2023,,7.27,Dec 2022,0.29,55,Role-Playing / Music/Rhythm,E10+
MLB The Show 23,Xbox,Yes,Active,Mar 2023,,7.33,Mar 2023,0.00,80,Sports / Baseball,E
Ni no Kuni II: Revenant Kingdom - The Prince's Edition,Xbox / PC,,Active,Mar 2023,,7.56,Mar 2018,5.00,81,Action / Role-Playing,T
Guilty Gear -Strive-,Xbox / PC,Yes,Active,Mar 2023,,8.02,Jun 2021,1.74,85,Fighting,T
Wo Long: Fallen Dynasty,Xbox / PC,Yes,Active,Mar 2023,,8.15,Mar 2023,0.00,80,Action,M
F1 22,Xbox / PC,,Active,Mar 2023,,8.19,Jun 2022,0.68,81,Driving/Racing / Simulation,E
Merge & Blade,Xbox / PC,Yes,Active,Feb 2023,,8.25,Feb 2023,0.00,70,,E10+
Soul Hackers 2,Xbox / PC,Yes,Active,Feb 2023,,8.25,Aug 2022,0.51,74,Role-Playing,M
Atomic Heart,Xbox / PC,Yes,Active,Feb 2023,,8.48,Feb 2023,0.00,72,Adventure / First-Person Shooter,M
Shadow Warrior 3: Definitive Edition,Xbox / PC,Yes,Active,Feb 2023,,8.65,Mar 2022,0.96,71,First-Person Shooter / Action-Adventure,M
Mount & Blade II: Bannerlord,Xbox / PC,Yes,Active,Feb 2023,,8.71,Mar 2020,2.88,75,Action / Adventure / Role-Playing / Simulation,M
Madden NFL 23,Xbox / PC,,Active,Feb 2023,,8.88,Aug 2022,0.48,69,Sports / Football,E
SD Gundam Battle Alliance,Xbox / PC,Yes,Active,Feb 2023,,8.88,Aug 2022,0.46,71,Action / Strategy / Role-Playing,T
Hot Wheels Unleashed: Game of the Year Edition,Xbox / PC,Yes,Active,Feb 2023,,8.94,Sep 2021,1.36,72,Driving/Racing,E
Darkest Dungeon,Xbox / PC,Yes,Active,Feb 2023,,9.11,Jan 2016,7.04,84,Role-Playing,T
Inkulinati (Game Preview),Xbox / PC,Yes,Active,Jan 2023,,9.17,Jan 2023,0.00,,Strategy,E
JoJo's Bizarre Adventure: All-Star Battle R,Xbox / PC,Yes,Active,Jan 2023,,9.17,Sep 2022,0.42,73,Fighting,T
GoldenEye 007 (2023),Xbox,Yes,Active,Jan 2023,,9.30,Jan 2023,0.00,96,First-Person Shooter,T
Hi-Fi RUSH,Xbox / PC,Yes,Active,Jan 2023,,9.37,Jan 2023,0.00,89,Action / Music/Rhythm,T
Monster Hunter: Rise,Xbox / PC,Yes,Active,Jan 2023,,9.53,Mar 2021,1.82,86,Action / Role-Playing,T
Persona 3: Portable,Xbox / PC,Yes,Active,Jan 2023,,9.57,Nov 2009,13.22,89,Role-Playing,M
Persona 4: Golden,Xbox / PC,Yes,Active,Jan 2023,,9.57,Jun 2012,10.61,90,Role-Playing,M
Stranded Deep,Xbox / PC,Yes,Active,Jan 2023,,10.09,Jan 2015,7.95,75,Adventure / Simulation,T
Crysis 2: Remastered,PC,,Active,Dec 2022,,11.01,Oct 2021,1.14,70,Action / First-Person Shooter,M
Crysis 3: Remastered,PC,,Active,Dec 2022,,11.01,Oct 2021,1.14,80,Action / First-Person Shooter,M
Crysis Trilogy: Remastered,PC,,Active,Dec 2022,,11.01,Oct 2021,1.14,80,Action / First-Person Shooter,M
Rainbow Billy: The Curse of the Leviathan,Xbox / PC,Yes,Active,Dec 2022,,10.72,Oct 2021,1.19,86,Role-Playing / Action-Adventure,E
High on Life,Xbox / PC,Yes,Active,Dec 2022,,10.78,Dec 2022,0.00,67,First-Person Shooter,M
Potion Craft,Xbox / PC,,Active,Dec 2022,,10.78,Dec 2022,0.00,76,Simulation,E10+
League of Legends,PC,,Active,Dec 2022,,10.82,Oct 2009,13.13,78,MOBA,T
Legends of Runeterra,PC,,Active,Dec 2022,,10.82,Apr 2020,2.62,87,Card Game,T
Teamfight Tactics,PC,,Active,Dec 2022,,10.82,Jun 2019,3.46,79,Strategy / Trivia/Board Game,T
Valorant,PC,,Active,Dec 2022,,10.82,Jun 2020,2.53,80,First-Person Shooter / MOBA,T
Chained Echoes,Xbox / PC,Yes,Active,Dec 2022,,10.95,Dec 2022,0.00,92,Role-Playing,M
Hello Neighbor 2,Xbox / PC,Yes,Active,Dec 2022,,11.01,Dec 2022,0.00,56,Strategy / Puzzle,E10+
LEGO Star Wars: The Skywalker Saga,Xbox / PC,Yes,Active,Dec 2022,,11.01,Apr 2022,0.67,80,Shooter / Brawler / Action-Adventure,E10+
Eastward,Xbox / PC,Yes,Active,Dec 2022,,11.18,Dec 2021,0.96,82,Adventure / Role-Playing,T
The Walking Dead: The Final Season,Xbox / PC,Yes,Active,Dec 2022,,11.18,Aug 2018,4.30,78,Adventure,M
"Warhammer 40,000: Darktide",Xbox / PC,Yes,Active,Nov 2022,,11.21,Nov 2022,0.00,78,Action,M
Insurgency: Sandstorm,Xbox / PC,Yes,Active,Nov 2022,,11.24,Sep 2018,4.20,80,Action / Shooter,M
Soccer Story,Xbox / PC,Yes,Active,Nov 2022,,11.24,Nov 2022,0.00,71,Role-Playing / Soccer,E
Battlefield 2042,Xbox / PC,Yes,Active,Nov 2022,,11.47,Nov 2021,1.03,66,First-Person Shooter,M
Dune: Spice Wars,PC,,Active,Nov 2022,,11.64,Apr 2022,0.56,72,Strategy,T
Ghostlore,Xbox / PC,,Active,Nov 2022,,11.64,Apr 2022,0.59,6,,E10+
Pentiment,Xbox / PC,Touch Controls,Active,Nov 2022,,11.70,Nov 2022,0.00,87,Adventure,M
Somerville,Xbox / PC,,Active,Nov 2022,,11.70,Nov 2022,0.00,82,Adventure,E10+
