Game,System,xCloud,Status,Added,Removed,Months,Release,Age,Metacritic,Genre (Giantbomb),ESRB
Crackdown 3,Xbox / PC,Yes,Active,Feb 2019,,56.71,Feb 2019,0.00,60,Action-Adventure,M
The Walking Dead: The Complete First Season,Xbox / PC,Touch Controls,Active,Feb 2019,,56.98,Dec 2017,1.18,89,Light-Gun Shooter,M
ARK: Ultimate Survivor Edition ,Xbox / PC,Yes,Active,Jan 2019,,58.13,Dec 2016,2.08,69,Action-Adventure,T
Ori and the Blind Forest: Definitive Edition,Xbox / PC,Yes,Active,Dec 2018,,58.59,Mar 2015,3.78,88,Puzzle / Platformer / Action-Adventure,E
Hellblade: Senua's Sacrifice,Xbox / PC,Touch Controls,Active,Dec 2018,,58.68,Aug 2017,1.36,88,Action / Action-Adventure,M
Forza Horizon 4,Xbox / PC,Yes,Active,Oct 2018,,61.18,Sep 2018,0.01,92,Driving/Racing,E
Wolfenstein: The New Order,Xbox / PC,Yes,Active,Oct 2018,,61.22,May 2014,4.37,80,First-Person Shooter,M
Halo: The Master Chief Collection,Xbox / PC,Yes,Active,Sep 2018,,62.20,Nov 2014,3.81,85,Compilation / First-Person Shooter,M
Quantum Break,Xbox / PC,,Active,Sep 2018,,62.20,Apr 2016,2.41,77,Shooter,M
DOOM (2016),Xbox,Yes,Active,Aug 2018,,62.93,May 2016,2.24,87,First-Person Shooter,M
RAGE,Xbox,Yes,Active,Aug 2018,,63.22,Oct 2011,6.83,81,First-Person Shooter / Vehicular Combat,M
Rush: A Disney Pixar Adventure,Xbox / PC,Yes,Active,Aug 2018,,63.22,Mar 2012,6.37,68,Minigame Collection / Platformer,E10+
Ryse: Son of Rome,Xbox,,Active,Aug 2018,,63.22,Nov 2013,4.69,60,Action / Brawler,M
Fallout 3: Game of the Year Edition,Xbox / PC,Yes,Active,Jul 2018,,64.24,Oct 2008,9.68,93,Role-Playing / First-Person Shooter,M
Human: Fall Flat,Xbox / PC,Yes,Active,Jul 2018,,64.24,Jul 2016,1.94,73,Puzzle,E
The Elder Scrolls IV: Oblivion,Xbox / PC,Yes,Active,Jul 2018,,64.24,Mar 2006,12.29,94,Action / Role-Playing,M
The Elder Scrolls Online,Xbox,,Active,Jun 2018,,64.93,Apr 2014,4.19,77,MMORPG,M
Disneyland Adventures,Xbox / PC,Yes,Active,Jun 2018,,65.23,Nov 2011,6.55,67,Adventure / Minigame Collection,E10+
Wasteland 2: Director's Cut,Xbox / PC,Touch Controls,Active,Jun 2018,,65.23,Sep 2014,3.70,77,Role-Playing,M
State of Decay 2: Juggernaut Edition,Xbox / PC,Yes,Active,May 2018,,65.56,May 2018,0.01,78,Action-Adventure,M
Cities: Skylines - Remastered,Xbox / PC,Touch Controls,Active,Apr 2018,,67.23,Mar 2015,3.06,83,Simulation,E
theHunter: Call of the Wild,Xbox / PC,Yes,Active,Apr 2018,,67.23,Feb 2017,1.12,83,Simulation / First-Person Shooter,T
Sea of Thieves,Xbox / PC,Touch Controls,Active,Mar 2018,,67.63,Mar 2018,0.00,69,Action-Adventure,T
Super Lucky's Tale,Xbox / PC,,Active,Mar 2018,,68.25,Nov 2017,0.31,64,Platformer,E
Fable Anniversary,Xbox,Touch Controls,Active,Feb 2018,,69.17,Feb 2014,3.99,68,Role-Playing / Action-Adventure,M
Halo Wars 2,Xbox / PC,Touch Controls,Active,Feb 2018,,69.17,Feb 2017,0.96,79,Real-Time Strategy,T
Zoo Tycoon: Ultimate Animal Collection,Xbox / PC,,Active,Jan 2018,,70.19,Oct 2017,0.17,68,Simulation,E
Gears of War 4,Xbox / PC,Yes,Active,Dec 2017,,71.21,Oct 2016,1.15,84,Shooter,M
Mass Effect,Xbox / PC,,Active,Dec 2017,,71.21,Nov 2007,10.04,90,Role-Playing / Shooter,M
Halo Wars: Definitive Edition,Xbox / PC,Touch Controls,Active,Nov 2017,,72.20,Feb 2009,8.68,81,Action / Role-Playing,T
Costume Quest 2,Xbox,,Active,Oct 2017,,73.22,Oct 2014,2.99,65,Role-Playing,E10+
State of Decay: Year One Survival Edition,Xbox,,Active,Oct 2017,,73.22,Apr 2015,2.43,72,Strategy / Shooter / Action-Adventure,M
Fable II,Xbox,Touch Controls,Active,Sep 2017,,74.20,Oct 2008,8.87,89,Adventure,M
ReCore: Definitive Edition,Xbox / PC,Yes,Active,Aug 2017,,74.30,Sep 2016,0.96,61,Adventure,T
Banjo-Kazooie,Xbox,Touch Controls,Active,Jun 2017,,77.23,Jun 1998,18.94,77,Adventure,E
Banjo-Kazooie: Nuts & Bolts,Xbox,Yes,Active,Jun 2017,,77.23,Nov 2008,8.56,79,Adventure,E10+
Banjo-Tooie,Xbox,Touch Controls,Active,Jun 2017,,77.23,Nov 2000,16.54,73,Adventure,E
Fable III,Xbox,Touch Controls,Active,Jun 2017,,77.23,Oct 2010,6.60,80,Adventure,M
Fuzion Frenzy,Xbox,Touch Controls,Active,Jun 2017,,77.23,Nov 2001,15.56,70,Minigame Collection,E
Gears of War,Xbox,,Active,Jun 2017,,77.23,Nov 2006,10.57,94,Shooter,M
Gears of War 2,Xbox,Yes,Active,Jun 2017,,77.23,Nov 2008,8.57,93,Action / Shooter,M
Gears of War 3,Xbox,Yes,Active,Jun 2017,,77.23,Sep 2011,5.70,91,Action / Shooter,M
Gears of War: Judgment,Xbox,Yes,Active,Jun 2017,,77.23,Mar 2013,4.21,79,Action / Shooter,M
Gears of War: Ultimate Edition,Xbox / PC,Yes,Active,Jun 2017,,77.23,Nov 2006,10.57,82,Shooter,M
Halo 5: Guardians,Xbox,Yes,Active,Jun 2017,,77.23,Oct 2015,1.60,84,First-Person Shooter,T
Halo: Spartan Assault,Xbox / PC,Touch Controls,Active,Jun 2017,,77.23,Jul 2013,3.87,53,Dual-Joystick Shooter,T
Jetpac Refuelled,Xbox,Touch Controls,Active,Jun 2017,,77.23,Mar 2007,10.19,73,Action / Shooter,E
Joy Ride Turbo,Xbox,Touch Controls,Active,Jun 2017,,77.23,May 2012,5.03,67,Driving/Racing,E
Kameo: Elements of Power,Xbox,Yes,Active,Jun 2017,,77.23,Nov 2005,11.55,79,Action-Adventure,T
Max: The Curse of Brotherhood,Xbox,,Active,Jun 2017,,77.23,Dec 2013,3.45,72,Puzzle / Platformer,E10+
Payday 2: Crimewave Edition,Xbox,,Active,Jun 2017,,77.23,Aug 2013,3.80,65,First-Person Shooter,M
Perfect Dark Zero,Xbox,Yes,Active,Jun 2017,,77.23,Jun 2006,10.99,81,First-Person Shooter,M
ScreamRide,Xbox,,Active,Jun 2017,,77.23,Mar 2015,2.25,71,Action,E10+
Sunset Overdrive,Xbox / PC,,Active,Jun 2017,,77.23,Oct 2014,2.59,81,Shooter / Platformer / Action-Adventure,M
Terraria,Xbox,Yes,Active,Jun 2017,,77.23,May 2011,6.05,84,Platformer / Action-Adventure,T
Viva Piñata,Xbox,Touch Controls,Active,Jun 2017,,77.23,Nov 2006,10.57,84,Strategy / Simulation,E
Viva Piñata: Trouble in Paradise,Xbox,Touch Controls,Active,Jun 2017,,77.23,Sep 2008,8.75,82,Strategy / Simulation,E
Gungrave G.O.R.E,Xbox / PC,Yes,Leaving Soon,Nov 2022,Nov 2023,11.77,Nov 2022,0.00,56,Action,M
Lapin (Game Preview),Xbox / PC,Yes,Leaving Soon,Nov 2022,Nov 2023,11.93,Nov 2022,0.00,,Platformer,E
Football Manager 2023,Xbox / PC,Touch Controls,Leaving Soon,Nov 2022,Nov 2023,12.23,Nov 2022,0.00,81,Sports / Simulation / Soccer,E
Ghost Song,Xbox / PC,Touch Controls,Leaving Soon,Nov 2022,Nov 2023,12.39,Nov 2022,0.00,86,Platformer / Action-Adventure,T
Exapunks,PC,,Leaving Soon,Aug 2022,Nov 2023,14.70,Oct 2018,3.84,80,Simulation,M
Coffee Talk,Xbox / PC,Touch Controls,Leaving Soon,Aug 2022,Nov 2023,14.99,Jan 2020,2.55,75,Adventure,T
Townscaper,Xbox / PC,Touch Controls,Leaving Soon,Dec 2021,Nov 2023,23.44,Jun 2020,1.42,86,Simulation,E
Gunfire Reborn,Xbox / PC,Yes,Removed,Oct 2022,Oct 2023,12.13,Nov 2021,0.94,77,First-Person Shooter / Action-Adventure,T
Signalis,Xbox / PC,Yes,Removed,Oct 2022,Oct 2023,12.13,Oct 2022,0.00,81,Action-Adventure,M
Persona 5: Royal,Xbox / PC,Touch Controls,Removed,Oct 2022,Oct 2023,12.33,Oct 2019,2.98,94,Role-Playing,M
Kill It With Fire,Xbox / PC,Yes,Removed,Nov 2021,Oct 2023,23.87,Aug 2020,1.23,73,Action / Simulation,E10+
Solasta: Crown of the Magister,Xbox / PC,Yes,Removed,May 2021,Oct 2023,29.16,Oct 2020,0.60,78,Adventure / Role-Playing,T
The Legend of Tianding,Xbox / PC,Yes,Removed,Oct 2022,Oct 2023,11.47,Oct 2022,0.00,80,Action / Platformer,T
Eville,Xbox / PC,Yes,Removed,Oct 2022,Oct 2023,12.13,Oct 2022,0.00,71,,T
Shenzhen I/O,PC,,Removed,Aug 2022,Oct 2023,14.37,Oct 2016,5.83,88,Puzzle,T
Overwhelm,PC,,Removed,Jul 2022,Oct 2023,15.06,Jul 2018,4.01,74,Action / Platformer,E10+
Trek to Yomi,Xbox / PC,Yes,Removed,May 2022,Oct 2023,17.36,May 2022,0.00,72,Action,M
Turnip Boy Commits Tax Evasion,Xbox / PC,Touch Controls,Removed,Apr 2022,Oct 2023,17.88,Apr 2021,0.99,72,Action / Adventure,E10+
Despot’s Game,Xbox / PC,Yes,Removed,Sep 2022,Sep 2023,12.03,Sep 2022,0.00,80,,T
Moonscars,Xbox / PC,Yes,Removed,Sep 2022,Sep 2023,12.10,Sep 2022,0.00,76,Action-Adventure,T
Beacon Pines,Xbox / PC,Yes,Removed,Sep 2022,Sep 2023,12.26,Sep 2022,0.00,83,Adventure,T
Last Call BBS,PC,,Removed,Jul 2022,Sep 2023,14.86,Jul 2022,0.00,80,Compilation / Puzzle,T
Weird West: Definitive Edition,Xbox / PC,Yes,Removed,Mar 2022,Sep 2023,18.02,Mar 2022,0.00,80,Action / Role-Playing / Simulation,M
Prodeus,Xbox / PC,Yes,Removed,Jun 2021,Sep 2023,27.22,Nov 2020,0.62,86,First-Person Shooter,M
Outriders,Xbox / PC,Yes,Removed,Apr 2021,Sep 2023,29.98,Apr 2021,0.00,78,Role-Playing / Action-Adventure,M
Sid Meier's Civilization VI,Xbox / PC,Yes,Removed,Mar 2023,Sep 2023,6.02,Oct 2016,6.40,87,Strategy,E10+
Danganronpa V3: Killing Harmony,Xbox / PC,Touch Controls,Removed,Sep 2022,Sep 2023,12.00,Jan 2017,5.68,80,Adventure / Shooter / Music/Rhythm,M
Fuga: Melodies of Steel,Xbox / PC,Touch Controls,Removed,Sep 2022,Sep 2023,12.00,Jul 2021,1.13,87,Action / Strategy / Role-Playing,T
Metal: Hellsinger,Xbox / PC,Yes,Removed,Sep 2022,Sep 2023,12.00,Sep 2022,0.00,79,Music/Rhythm / First-Person Shooter,T
Amazing Cultivation Simulator,PC,,Removed,Sep 2022,Sep 2023,12.03,Jan 2019,3.68,73,Strategy / Simulation,E10+
DC League of Super-Pets: The Adventures of Krypto and Ace,Xbox / PC,Touch Controls,Removed,Sep 2022,Sep 2023,12.07,Jul 2022,0.16,60,Flight Simulator / Shoot 'Em Up,E10+
Train Sim World 3,Xbox / PC,,Removed,Sep 2022,Sep 2023,12.30,Sep 2022,0.00,78,Simulation,E
Tainted Grail: Conquest,Xbox / PC,,Removed,Mar 2022,Sep 2023,17.82,Jun 2020,1.76,82,Role-Playing / Card Game,M
Aragami 2,Xbox / PC,Touch Controls,Removed,Sep 2021,Sep 2023,23.93,Sep 2021,0.00,69,Action,M
Commandos 3: HD Remaster,Xbox / PC,Yes,Removed,Aug 2022,Aug 2023,12.03,Aug 2022,0.00,60,Real-Time Strategy,T
Immortality,Xbox / PC,Yes,Removed,Aug 2022,Aug 2023,12.03,Aug 2022,0.00,91,Adventure / Simulation,M
Tinykin,Xbox / PC,,Removed,Aug 2022,Aug 2023,12.03,Aug 2022,0.00,81,Adventure / Platformer,E10+
Nuclear Throne,Xbox / PC,Yes,Removed,Sep 2021,Aug 2023,23.70,Dec 2015,5.77,89,Action / Shooter,E10+
Surgeon Simulator 2: Access All Areas,Xbox / PC,Yes,Removed,Sep 2021,Aug 2023,23.93,Aug 2020,1.02,69,Simulation,M
Black Desert,Xbox,Yes,Removed,May 2019,Aug 2023,51.78,Mar 2016,3.18,75,MMORPG,T
DEATH STRANDING,PC,,Removed,Aug 2022,Aug 2023,11.74,Nov 2019,2.79,86,Action-Adventure,M
Midnight Fight Express,Xbox / PC,Yes,Removed,Aug 2022,Aug 2023,11.74,Aug 2022,0.00,75,Action / Brawler,M
Total War: Warhammer III,PC,,Removed,Feb 2022,Aug 2023,17.88,Feb 2022,0.00,88,Strategy,T
Edge of Eternity,Xbox / PC,Touch Controls,Removed,Feb 2022,Aug 2023,18.12,Dec 2018,3.19,67,Role-Playing / Action-Adventure,T
Expeditions: Rome,PC,,Removed,Aug 2022,Jul 2023,11.64,Jan 2022,0.56,80,Strategy / Role-Playing,T
Two Point Campus,Xbox / PC,Touch Controls,Removed,Aug 2022,Jul 2023,11.70,Aug 2022,0.00,84,Simulation,T
Dreamscaper,Xbox / PC,Touch Controls,Removed,Feb 2022,Jul 2023,17.85,Aug 2020,1.47,80,Role-Playing / Brawler / Action-Adventure,E10+
Marvel's Avengers,Xbox / PC,Yes,Removed,Sep 2021,Jul 2023,21.99,Sep 2020,1.07,67,Action / Role-Playing / Brawler,T
The Ascent,Xbox / PC,Touch Controls,Removed,Jul 2021,Jul 2023,24.07,Jul 2021,0.00,70,Action / Role-Playing,M
PAW Patrol The Movie: Adventure City Calls,Xbox / PC,Touch Controls,Removed,Jul 2022,Jul 2023,12.03,Aug 2021,0.92,40,Action,E
Spelunky 2,Xbox / PC,Touch Controls,Removed,Jan 2022,Jul 2023,18.02,Sep 2020,1.33,89,Platformer / Action-Adventure,T
Exo One,Xbox / PC,Touch Controls,Removed,Nov 2021,Jul 2023,19.86,Nov 2021,0.00,80,Adventure / Simulation / Puzzle,E
DJMax Respect V,Xbox / PC,Yes,Removed,Jul 2022,Jun 2023,11.77,Dec 2019,2.55,75,Music/Rhythm,T
Matchpoint: Tennis Championships,Xbox / PC,Touch Controls,Removed,Jul 2022,Jun 2023,11.77,Jul 2022,0.00,60,Sports / Tennis,E
Road 96,Xbox / PC,Touch Controls,Removed,Jul 2022,Jun 2023,11.77,Aug 2021,0.89,79,Adventure,T
OMORI,Xbox / PC,Yes,Removed,Jun 2022,Jun 2023,12.46,Dec 2020,1.47,87,Role-Playing,M
Olija,Xbox / PC,Yes,Removed,Jan 2022,Jun 2023,17.82,Jan 2021,0.93,78,Action-Adventure,T
Empire of Sin,Xbox / PC,Touch Controls,Removed,Mar 2021,Jun 2023,27.42,Dec 2020,0.29,66,Strategy / Role-Playing,M
Mortal Shell: Enhanced Edition,Xbox / PC,Yes,Removed,Jan 2023,Jun 2023,5.29,Aug 2020,2.38,76,Action / Role-Playing,M
Total War: Three Kingdoms,PC,,Removed,Jun 2022,Jun 2023,11.80,May 2019,3.08,85,Strategy,T
Chorus,Xbox / PC,Touch Controls,Removed,Jun 2022,Jun 2023,12.26,Dec 2021,0.51,78,Action,T
Serious Sam 4,Xbox / PC,Yes,Removed,Dec 2021,Jun 2023,18.25,Sep 2020,1.20,68,First-Person Shooter,M
Maneater,Xbox / PC,Yes,Removed,May 2021,Jun 2023,24.69,May 2020,1.01,71,Action / Role-Playing,M
Bridge Constructor: Portal,Xbox / PC,Touch Controls,Removed,Jun 2019,Jun 2023,48.23,Dec 2017,1.47,78,Puzzle,E
Floppy Knights,Xbox / PC,Touch Controls,Removed,May 2022,May 2023,12.23,May 2022,0.00,81,Strategy / Card Game,E10+
Lawn Mowing Simulator,Xbox / PC,Touch Controls,Removed,Dec 2021,May 2023,17.92,Aug 2021,0.31,71,Simulation,E
Evil Genius 2: World Domination,Xbox / PC,Yes,Removed,Nov 2021,May 2023,17.98,Mar 2021,0.70,76,Strategy / Simulation,T
FIFA 21,Xbox / PC,,Removed,May 2021,May 2023,24.82,Oct 2020,0.58,77,Sports / Soccer,E
Europa Universalis IV,PC,,Removed,Dec 2019,May 2023,41.88,Aug 2013,6.31,87,Strategy,T
Her Story,PC,,Removed,May 2022,May 2023,11.93,Jun 2015,6.90,86,Adventure / Simulation / Puzzle,M
Umurangi Generation - Special Edition,Xbox / PC,Touch Controls,Removed,May 2022,May 2023,11.93,Jun 2021,0.95,84,Adventure,T
Danganronpa 2: Goodbye Despair - Anniversary Edition,Xbox / PC,Touch Controls,Removed,May 2022,May 2023,12.16,Jul 2012,9.79,83,Adventure / Shooter / Music/Rhythm,M
Before We Leave,Xbox / PC,Yes,Removed,Dec 2021,May 2023,17.42,May 2021,0.55,72,Simulation,E10+
My Friend Pedro,Xbox / PC,Yes,Removed,Nov 2021,May 2023,17.85,Jun 2019,2.42,80,Action,M
Hearts of Iron IV: Cadet Edition,PC,,Removed,Nov 2019,May 2023,41.98,Jun 2016,3.44,83,Strategy,T
Bugsnax,Xbox / PC,Touch Controls,Removed,Apr 2022,Apr 2023,12.07,Nov 2020,1.46,77,Adventure,E10+
Unsouled,Xbox / PC,Yes,Removed,Apr 2022,Apr 2023,12.07,Nov 2021,0.44,84,Action / Role-Playing,M
Dragon Quest Builders 2,Xbox / PC,Yes,Removed,May 2021,Apr 2023,23.87,Jul 2019,1.81,85,Adventure / Role-Playing,E10+
Destroy All Humans! (2020),Xbox / PC,Yes,Removed,Apr 2021,Apr 2023,24.03,Jul 2020,0.75,70,Action,T
NHL 21,Xbox,,Removed,Apr 2021,Apr 2023,24.59,Oct 2020,0.49,81,Sports / Hockey,E10+
Tetris Effect: Connected,Xbox / PC,,Removed,Nov 2020,Apr 2023,29.62,Nov 2020,0.00,84,Puzzle,E
Battlefield 1943,Xbox,,Removed,Nov 2020,Apr 2023,29.56,Jul 2009,11.35,83,Action / First-Person Shooter / Vehicular Combat,T
Battlefield: Bad Company,Xbox,,Removed,Nov 2020,Apr 2023,29.56,Jun 2008,12.39,83,Action / First-Person Shooter,T
Battlefield: Bad Company 2,Xbox / PC,,Removed,Nov 2020,Apr 2023,29.56,Mar 2010,10.70,88,First-Person Shooter,M
Life Is Strange: True Colors,Xbox / PC,Touch Controls,Removed,Apr 2022,Apr 2023,12.10,Sep 2021,0.59,79,Adventure,M
Panzer Corps 2,PC,,Removed,Apr 2022,Apr 2023,12.10,Mar 2020,2.07,86,Strategy,E10+
The Dungeon of Naheulbeuk: The Amulet of Chaos,Xbox / PC,Touch Controls,Removed,Mar 2022,Apr 2023,12.95,Aug 2020,1.55,75,Strategy / Role-Playing / Action-Adventure,M
Tom Clancy's Rainbow Six: Extraction,Xbox / PC,Yes,Removed,Jan 2022,Apr 2023,14.79,Jan 2022,0.00,72,First-Person Shooter,M
Moonglow Bay,Xbox / PC,Touch Controls,Removed,Oct 2021,Apr 2023,17.62,Oct 2021,0.00,76,Adventure / Fishing,E
The Riftbreaker,Xbox / PC,Yes,Removed,Oct 2021,Apr 2023,18.02,Oct 2021,0.00,81,Action / Strategy,T
The Long Dark,Xbox / PC,Yes,Removed,Apr 2020,Apr 2023,35.97,Aug 2017,2.71,76,Adventure,T
Chinatown Detective Agency,Xbox / PC,Touch Controls,Removed,Apr 2022,Mar 2023,11.77,Apr 2022,0.00,67,Puzzle / Action-Adventure,T
MLB The Show 22,Xbox,Touch Controls,Removed,Apr 2022,Mar 2023,11.84,Apr 2022,0.00,80,Sports / Baseball,E
A Memoir Blue,Xbox / PC,Touch Controls,Removed,Mar 2022,Mar 2023,12.23,Mar 2022,0.00,74,Adventure,E
Kraken Academy!!,Xbox / PC,Touch Controls,Removed,Mar 2022,Mar 2023,12.30,Mar 2022,0.00,60,Adventure,E10+
Power Rangers: Battle for the Grid,Xbox / PC,Yes,Removed,Mar 2020,Mar 2023,36.16,Mar 2019,1.00,53,Fighting,T
ClusterTruck,Xbox / PC,Yes,Removed,Apr 2018,Mar 2023,60.00,Sep 2016,1.51,69,Platformer,E
Double Dragon Neon,Xbox,Touch Controls,Removed,Jun 2017,Mar 2023,69.99,Sep 2012,4.72,66,Adventure,T
Zero Escape: The Nonary Games,Xbox / PC,Touch Controls,Removed,Mar 2022,Mar 2023,11.77,Mar 2017,5.00,86,Adventure / Compilation / Puzzle,M
Paradise Killer,Xbox / PC,Touch Controls,Removed,Mar 2022,Mar 2023,11.97,Sep 2020,1.47,81,Adventure,M
Kentucky Route Zero,Xbox / PC,Touch Controls,Removed,Mar 2022,Mar 2023,12.16,Feb 2013,9.05,87,Adventure,T
Marvel's Guardians of the Galaxy,Xbox / PC,Yes,Removed,Mar 2022,Mar 2023,12.16,Oct 2021,0.37,81,Action-Adventure,T
Young Souls,Xbox / PC,Touch Controls,Removed,Mar 2022,Mar 2023,12.16,Aug 2021,0.56,83,Brawler / Action-Adventure,M
F1 2020,Xbox,,Removed,Aug 2021,Mar 2023,19.13,Jul 2020,1.08,91,Driving/Racing,E
Undertale,Xbox / PC,Yes,Removed,Jul 2019,Mar 2023,44.38,Sep 2015,3.80,92,Role-Playing,E10+
Lightning Returns: Final Fantasy XIII,Xbox / PC,,Removed,Mar 2022,Feb 2023,11.90,Nov 2013,8.28,68,Action / Role-Playing,T
FAR: Changing Tides,Xbox / PC,Touch Controls,Removed,Mar 2022,Feb 2023,11.97,Mar 2022,0.00,77,Adventure / Puzzle,E
Dragon Ball FighterZ,Xbox / PC,Yes,Removed,Oct 2021,Feb 2023,16.27,Jan 2018,3.74,86,Fighting,T
Crown Trick,Xbox / PC,Touch Controls,Removed,Sep 2021,Feb 2023,17.72,Oct 2020,0.89,83,Strategy / Role-Playing / Action-Adventure,T
Octopath Traveler,Xbox / PC,Touch Controls,Removed,Mar 2021,Feb 2023,23.18,Jul 2018,2.70,80,Role-Playing,T
Madden NFL 21,Xbox / PC,,Removed,Mar 2021,Feb 2023,23.93,Aug 2020,0.51,66,Sports / Football,E
Alien: Isolation,Xbox / PC,,Removed,Feb 2019,Feb 2023,48.03,Oct 2014,4.40,78,Action-Adventure,M
Infernax,Xbox / PC,Yes,Removed,Feb 2022,Feb 2023,12.10,Feb 2022,0.00,85,Action-Adventure,M
CrossfireX,Xbox,Yes,Removed,Feb 2022,Feb 2023,12.16,Feb 2022,0.00,43,Shooter,M
Skul: The Hero Slayer,Xbox / PC,Yes,Removed,Feb 2022,Feb 2023,12.16,Feb 2020,1.98,80,Platformer,T
The Last Kids on Earth and the Staff of Doom,Xbox / PC,Touch Controls,Removed,Feb 2022,Feb 2023,12.16,Jun 2021,0.69,60,Action / Role-Playing,E10+
Recompile,Xbox / PC,Yes,Removed,Aug 2021,Feb 2023,17.92,Aug 2021,0.00,64,Action-Adventure,T
Telling Lies,Xbox / PC,Touch Controls,Removed,Feb 2022,Jan 2023,11.90,Aug 2019,2.45,82,Adventure,M
Taiko no Tatsujin: The Drum Master,Xbox / PC,,Removed,Jan 2022,Jan 2023,12.13,Jan 2022,0.02,80,Music/Rhythm,T
Donut County,Xbox / PC,Touch Controls,Removed,Jan 2021,Jan 2023,24.33,Aug 2018,2.40,82,Action,E
Worms W.M.D,Xbox / PC,Yes,Removed,Jul 2019,Jan 2023,42.35,Aug 2016,2.92,75,Action,E10+
Pupperazzi,Xbox / PC,Touch Controls,Removed,Jan 2022,Jan 2023,11.84,Jan 2022,0.00,68,Adventure,E
Windjammers 2,Xbox / PC,Touch Controls,Removed,Jan 2022,Jan 2023,11.84,Jan 2022,0.00,74,Action / Sports,E
Danganronpa: Trigger Happy Havoc - Anniversary Edition,Xbox / PC,Touch Controls,Removed,Jan 2022,Jan 2023,11.90,Nov 2010,11.16,82,Adventure / Shooter / Music/Rhythm,M
Nobody Saves the World,Xbox / PC,Yes,Removed,Jan 2022,Jan 2023,11.90,Jan 2022,0.00,79,Action / Role-Playing,T
The Anacrusis (Game Preview),Xbox / PC,Yes,Removed,Jan 2022,Jan 2023,12.07,Jan 2022,0.00,55,Shooter,T
We Happy Few,Xbox / PC,Yes,Removed,Jan 2019,Jan 2023,47.97,Aug 2018,0.44,64,Adventure / First-Person Shooter,M
Embr,Xbox / PC,Yes,Removed,Jan 2022,Dec 2022,11.80,May 2020,1.63,72,Action,E10+
Outer Wilds,Xbox / PC,Yes,Removed,Jan 2022,Dec 2022,11.80,May 2019,2.61,85,Adventure,E10+
Gorogoa,Xbox / PC,Yes,Removed,Jan 2022,Dec 2022,11.87,Dec 2017,4.06,82,Adventure / Puzzle,E
The Pedestrian,Xbox / PC,Touch Controls,Removed,Jan 2022,Dec 2022,11.87,Jan 2020,1.93,81,Puzzle / Platformer,E10+
Scarlet Nexus,Xbox / PC,Yes,Removed,Sep 2021,Dec 2022,15.02,Jun 2021,0.27,78,Action / Role-Playing,T
Immortal Realms: Vampire Wars,Xbox / PC,Yes,Removed,Jul 2021,Dec 2022,18.02,Oct 2019,1.72,69,Strategy / Card Game,M
Iron Harvest,PC,,Removed,Jun 2021,Dec 2022,18.25,Sep 2020,0.81,75,Real-Time Strategy,M
Tropico 6,Xbox / PC,Touch Controls,Removed,Mar 2021,Dec 2022,21.47,Mar 2019,1.97,78,Strategy / Simulation,T
Secret Neighbor,Xbox / PC,Yes,Removed,Oct 2019,Dec 2022,38.30,Oct 2019,0.00,70,Action,T
Lake,Xbox / PC,Touch Controls,Removed,Dec 2021,Dec 2022,11.97,Sep 2021,0.29,73,Adventure,M
Race With Ryan,Xbox / PC,Touch Controls,Removed,Dec 2021,Dec 2022,11.97,Nov 2019,2.13,51,Driving/Racing,E
Record of Lodoss War: Deedlit in Wonder Labyrinth,Xbox / PC,Yes,Removed,Dec 2021,Dec 2022,11.97,Mar 2020,1.76,73,Platformer / Action-Adventure,E10+
Transformers: Battlegrounds,Xbox / PC,Touch Controls,Removed,Dec 2021,Dec 2022,11.97,Oct 2020,1.15,71,Strategy,E10+
Aliens: Fireteam Elite,Xbox / PC,Yes,Removed,Dec 2021,Dec 2022,12.03,Aug 2021,0.31,70,Action,M
One Piece: Pirate Warriors 4,Xbox / PC,Touch Controls,Removed,Dec 2021,Dec 2022,12.20,Mar 2020,1.71,76,Brawler,T
Breathedge,Xbox / PC,Yes,Removed,Sep 2021,Dec 2022,15.19,Sep 2018,2.99,71,Adventure,T
Neoverse,Xbox / PC,Touch Controls,Removed,Dec 2020,Dec 2022,23.93,Jan 2019,1.94,68,Strategy / Role-Playing / Card Game,T
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,Xbox / PC,Touch Controls,Removed,Dec 2020,Dec 2022,24.36,Jul 2017,3.35,91,Role-Playing,T
Rory McIlroy PGA Tour,Xbox,,Removed,Nov 2020,Dec 2022,25.15,Jul 2015,5.33,60,Sports / Golf,E
Space Warlord Organ Trading Simulator,Xbox / PC,Touch Controls,Removed,Dec 2021,Nov 2022,11.77,Dec 2021,0.00,70,Simulation,T
Archvale,Xbox / PC,Touch Controls,Removed,Dec 2021,Nov 2022,11.93,Dec 2021,0.00,84,Dual-Joystick Shooter / Action-Adventure,T
Final Fantasy XIII-2,Xbox / PC,,Removed,Dec 2021,Nov 2022,11.93,Dec 2011,9.97,79,Role-Playing,T
"Warhammer 40,000: Battlesector",Xbox / PC,Yes,Removed,Dec 2021,Nov 2022,11.93,Jul 2021,0.38,74,Strategy,M
Mind Scanners,Xbox / PC,Yes,Removed,Dec 2021,Nov 2022,11.97,May 2021,0.53,75,Adventure / Role-Playing / Strategy / Simulation,M
DEEEER Simulator,Xbox / PC,Yes,Removed,Nov 2021,Nov 2022,12.23,Jan 2020,1.84,47,Action,T
